	tSNE1	tSNE2
k141_16025	-7.1935654	-71.613464
k141_4038	-34.506306	11.939846
k141_24073	20.88849	15.942209
k141_4039	51.108776	13.6467905
k141_12041	-25.797165	-55.540844
k141_20076	21.432726	9.432968
k141_8047	26.593346	45.90154
k141_28095	27.974058	33.11551
k141_16026	-40.737907	29.371887
k141_48	-47.100895	19.049482
k141_20077	2.2716165	-3.6043718
k141_28096	-7.5397286	28.09825
k141_4041	-46.07857	-41.508835
k141_28097	-28.982002	-58.108833
k141_4042	32.507183	43.39706
k141_50	-28.603394	16.233799
k141_8048	-25.330975	19.32549
k141_51	28.494862	-46.6068
k141_24074	22.445091	-34.00168
k141_8049	-7.213492	-41.08232
k141_12050	-52.3684	22.28759
k141_52	-34.14391	33.52873
k141_20082	-43.493107	-44.439842
k141_24075	-24.663315	23.934774
k141_8050	-45.720005	-39.8118
k141_20084	-20.738102	-54.649582
k141_24077	11.828275	-25.332636
k141_4045	56.507233	8.566721
k141_12053	-10.150115	-14.346686
k141_8054	0.2521691	-35.525326
k141_20086	-14.445496	29.260006
k141_54	30.644247	-52.689987
k141_24081	5.0860624	-34.936543
k141_20088	19.263622	-52.544037
k141_12056	-4.4166403	68.57417
k141_4046	-51.362926	22.476122
k141_20089	-31.959255	7.2269716
k141_28102	41.57193	17.21231
k141_8061	20.168285	-53.680813
k141_12058	-30.683783	10.59838
k141_20090	15.032059	13.497418
k141_59	-0.7780336	-40.871723
k141_28104	-29.346615	-63.649296
k141_60	17.325737	8.753363
k141_24086	-19.513428	-51.023155
k141_4050	20.346931	-8.021096
k141_28108	-23.0068	-59.01284
k141_28109	-17.519522	-51.207443
k141_4051	-22.218002	4.2316275
k141_8066	-53.237183	23.510868
k141_62	-49.798748	-33.619667
k141_24087	-44.43748	23.027592
k141_8069	14.866709	15.481825
k141_24088	-5.073486	23.00227
k141_20092	-17.588306	62.12791
k141_8072	-17.579102	-10.042325
k141_28117	-5.4445467	-49.990032
k141_4053	-14.157478	2.2143435
k141_24093	19.686337	22.072853
k141_12061	42.357487	18.25325
k141_8074	20.444632	10.293879
k141_28118	25.338228	16.664722
k141_12062	15.062962	-41.1577
k141_8075	-7.47546	-37.342625
k141_4055	16.023933	-10.430125
k141_65	34.929714	15.10793
k141_28119	-9.506743	-55.819435
k141_24095	15.175759	-14.815538
k141_4056	28.93553	-10.814789
k141_20096	27.948551	-47.52519
k141_20098	-9.380342	-54.50707
k141_28122	8.872573	-5.634611
k141_70	25.439507	16.860844
k141_28123	-49.756413	-26.944105
k141_28125	-20.392551	-54.62893
k141_12071	-42.038895	19.81185
k141_8086	-48.915684	21.127584
k141_12072	-1.6035901	7.2803006
k141_28127	18.978062	-46.188534
k141_8088	-29.711514	-61.576504
k141_24100	39.516808	12.855562
k141_4068	20.938215	-50.15226
k141_12074	-26.72277	-62.98369
k141_73	-52.081974	-36.594704
k141_8089	-14.965473	0.4717954
k141_24102	7.933203	2.258797
k141_4069	-14.510795	48.992474
k141_8091	-9.511248	53.923824
k141_20105	-16.999899	59.941006
k141_28132	-4.69574	-49.25444
k141_12078	-2.176967	68.96464
k141_4070	-13.6625595	-14.123515
k141_28133	-7.3227506	-43.301712
k141_78	0.54601747	-42.207073
k141_8093	-14.035637	55.48847
k141_79	11.687022	-53.542107
k141_20106	-14.207903	12.64767
k141_4074	-18.395807	6.0672503
k141_12084	5.5992546	-9.54854
k141_20108	-43.719368	-29.53102
k141_81	-48.284904	19.26093
k141_24103	52.82187	8.84034
k141_8095	-43.9447	-44.38071
k141_28135	-13.2983265	61.645554
k141_20109	-44.93112	-32.305042
k141_8096	18.347225	-47.639507
k141_28136	19.43421	29.950579
k141_24110	-2.6596751	-5.4609756
k141_28138	0.5409475	14.038615
k141_20113	38.00862	7.9269943
k141_8101	-33.198708	9.815463
k141_4075	-4.4426823	-25.433414
k141_28139	-43.18334	7.5422063
k141_24113	-0.44007754	16.853065
k141_20115	0.13619344	-17.027618
k141_28141	-46.446327	-28.279627
k141_4077	46.762947	12.503677
k141_24114	-17.309513	-45.986958
k141_8104	45.408894	43.966564
k141_28144	1.3142307	0.94479734
k141_4080	38.040604	-51.41763
k141_91	-0.3333772	63.749855
k141_4081	-7.8009586	47.941227
k141_28146	-2.1880255	-31.343485
k141_20119	8.3291645	19.62383
k141_8109	-51.307755	-27.338497
k141_93	-44.792213	-29.914604
k141_4082	-0.7861252	-6.2875366
k141_4085	-0.08075196	19.735882
k141_12092	39.28995	16.759611
k141_24116	-12.100359	62.466198
k141_24117	16.221653	27.232313
k141_20127	-2.3608713	67.519714
k141_12093	-8.554939	51.7683
k141_8111	54.256035	9.429362
k141_4086	25.582764	8.567076
k141_8112	23.619553	22.074911
k141_16028	-7.0981116	-70.3879
k141_8113	31.375902	43.95707
k141_28154	-3.1768003	2.032916
k141_24119	46.348938	37.76153
k141_20130	30.531357	-49.88683
k141_4091	-5.7712297	32.460285
k141_24121	-9.779387	-26.674074
k141_95	-10.870334	-70.55656
k141_24122	16.19255	38.02451
k141_12101	-53.125896	20.876245
k141_20132	-13.261183	2.8237805
k141_98	27.828945	-18.013212
k141_28158	-18.496359	63.824844
k141_16029	-10.464575	-66.597046
k141_4096	-38.023582	8.312327
k141_16030	0.49795267	-31.824608
k141_28160	9.494735	16.090279
k141_12104	23.599722	2.012071
k141_102	-36.593716	29.503218
k141_16031	25.935572	0.7496316
k141_20136	-19.185072	59.986008
k141_104	-1.2860641	-17.14502
k141_28164	-14.979529	-16.382547
k141_12105	36.573708	16.629074
k141_20138	22.69491	-14.492756
k141_28165	36.033108	47.963356
k141_12107	-49.930206	20.838804
k141_20139	-45.136765	28.858456
k141_8116	55.325134	4.130076
k141_12108	27.518473	-45.189087
k141_4097	16.038591	-19.938372
k141_110	-5.595146	-22.141317
k141_28171	0.087965235	-39.53722
k141_16042	23.99206	12.769778
k141_28172	1.6299869	-38.891346
k141_12110	-16.771444	-43.21344
k141_112	-29.766836	16.73101
k141_16043	30.233444	36.151352
k141_20140	34.33829	3.6267664
k141_8125	-43.29716	11.118524
k141_113	-24.954273	26.506748
k141_4099	44.51536	39.152187
k141_20143	-27.239828	-58.721775
k141_12113	30.766493	-47.187862
k141_28176	-23.153597	-68.205444
k141_20145	9.174863	9.759343
k141_12114	-2.9491856	65.52873
k141_16045	8.475881	-0.5880267
k141_24129	-10.366343	-70.646996
k141_8127	-46.384144	-42.278786
k141_16047	-41.646564	7.5926986
k141_20146	-16.056929	59.077812
k141_120	-40.911884	31.674936
k141_28179	4.745273	-10.245096
k141_12116	-30.123314	14.881741
k141_24131	-42.872147	-33.066666
k141_4110	11.66787	22.63943
k141_8129	-46.494953	-38.161045
k141_16048	-43.48065	-44.684494
k141_28181	-20.729412	27.3362
k141_12117	34.117214	43.697388
k141_20147	48.700462	10.24495
k141_16050	-2.458581	-48.90844
k141_8134	19.37503	18.395273
k141_16051	-14.686507	22.231987
k141_24133	46.187843	22.201029
k141_12120	3.209331	-30.716465
k141_4112	-48.02121	-37.93948
k141_20151	-1.0936571	-26.731117
k141_28187	-23.27732	22.736118
k141_16052	-41.156994	12.873117
k141_124	-18.133402	0.9059744
k141_24134	-4.3229136	21.04172
k141_4114	-2.7922635	-46.096912
k141_125	24.39589	15.406783
k141_24135	-38.636726	-32.829834
k141_8136	35.84879	15.1680565
k141_28189	9.746718	32.212257
k141_28190	27.598095	45.135204
k141_8137	35.777645	46.26234
k141_24137	-27.641785	0.95745605
k141_4116	39.913845	30.817102
k141_20156	-48.412018	-35.921814
k141_28192	23.928015	-47.684692
k141_126	2.3293724	-37.374943
k141_12123	32.188927	13.091348
k141_20159	-25.610823	2.745727
k141_8141	31.345545	-48.588615
k141_12125	10.252746	22.981304
k141_24140	33.50289	31.892994
k141_20160	11.737239	13.138446
k141_127	24.115927	8.484852
k141_16053	4.759307	-38.67475
k141_28199	-45.562595	-29.32497
k141_8146	0.17038898	-15.589022
k141_28202	34.784058	-8.922264
k141_16057	26.686579	-48.769688
k141_128	-8.801167	-35.958527
k141_8149	29.303333	49.847908
k141_28203	-14.12228	-57.02057
k141_16058	-38.4896	5.5033255
k141_131	13.891185	-29.597172
k141_4119	-21.00881	65.16853
k141_24145	-22.445185	64.13522
k141_16060	-11.662095	48.582985
k141_8153	27.742998	46.883514
k141_12126	-15.27001	60.614834
k141_4121	-29.508286	-17.933796
k141_24146	18.997608	-5.207627
k141_4122	32.526455	-10.611583
k141_16062	13.354799	-25.998623
k141_28206	-44.324574	-35.63883
k141_20165	37.507767	17.517698
k141_140	5.2879286	-52.92138
k141_12129	5.9180923	-14.056792
k141_28207	-17.958654	-8.341415
k141_141	-7.2697935	-32.76065
k141_20166	-19.43893	-3.3276007
k141_142	21.511147	18.258469
k141_20168	-30.326797	-64.04397
k141_12132	-11.423222	-53.839493
k141_28211	-9.013325	65.58189
k141_16066	37.706593	27.148819
k141_144	-13.285884	-1.2965608
k141_12133	-50.413013	-42.553444
k141_8162	18.390697	-19.506948
k141_24155	-47.89045	21.271229
k141_16069	9.840069	10.787727
k141_28215	0.0046889153	-5.544091
k141_24156	1.1764914	-1.3317848
k141_146	0.51621944	4.2943583
k141_8164	-5.14452	-24.953846
k141_16071	20.737604	-53.88426
k141_28218	2.709614	25.742626
k141_16072	-1.9316944	49.797382
k141_20169	-23.896687	67.14796
k141_12139	0.9745717	-21.995644
k141_20170	3.2782729	-20.285797
k141_24163	-36.339794	-44.9157
k141_16073	-13.341689	60.317905
k141_24165	-40.090443	-36.443798
k141_12141	22.584848	0.3240444
k141_8165	-36.348022	20.9353
k141_28219	-10.900397	-10.493651
k141_12143	-2.6057374	70.52957
k141_20171	29.911592	1.1163546
k141_4123	50.802654	5.287576
k141_28220	4.2080665	-2.6323545
k141_12144	-12.014459	-28.412584
k141_24166	-48.145973	17.95137
k141_28222	-8.84746	66.2537
k141_24167	-1.4542	-52.64821
k141_20175	-8.369682	-53.510887
k141_8171	14.409309	-49.813156
k141_20176	-12.946315	-23.6018
k141_8172	-45.188854	-29.83568
k141_12148	-40.158752	18.112295
k141_4131	-5.460503	-28.023201
k141_20177	-26.086384	-58.83412
k141_4132	-13.208608	-24.738909
k141_28223	5.2329125	-12.88374
k141_20180	19.866325	7.748477
k141_4133	3.4223797	-47.3026
k141_8173	-16.664492	11.590095
k141_20182	-28.74796	-19.970278
k141_28225	26.285254	-7.0188284
k141_4136	17.826092	19.697792
k141_12154	-33.236156	11.204429
k141_24169	47.950024	12.384458
k141_12157	22.145332	18.428335
k141_4140	26.546835	-8.647271
k141_20183	43.471367	5.718764
k141_12160	-3.1978445	-30.130297
k141_28226	-23.585297	68.343575
k141_12161	8.275488	0.7368236
k141_4145	7.958489	-1.140089
k141_24173	-8.379869	54.70437
k141_12162	1.1964024	-31.616774
k141_4147	31.411142	-50.549076
k141_24177	-29.514019	-17.814356
k141_12164	23.07491	17.531363
k141_24178	27.309566	38.09666
k141_8176	55.635483	3.8334255
k141_20184	-13.6854315	71.20093
k141_20185	1.915635	-50.04245
k141_4151	24.062212	-16.188139
k141_24182	-44.733387	-43.69534
k141_4153	-5.8767934	53.99568
k141_24183	-4.7132087	-16.955465
k141_8181	-45.30232	19.403517
k141_20187	2.2475612	21.854572
k141_12170	50.498356	42.19351
k141_20189	31.9349	45.445335
k141_24190	-3.4329937	-7.1908197
k141_20191	6.4603357	-4.7760196
k141_28229	-52.28506	-40.13024
k141_20192	-43.703136	8.524575
k141_4155	-25.205048	19.357779
k141_12174	-7.01182	55.67361
k141_4156	-14.541967	53.673172
k141_8189	-7.1632996	19.313148
k141_24193	18.910793	-10.656583
k141_4158	9.085054	-55.152317
k141_12177	3.3231978	5.657173
k141_24195	9.169659	-32.74134
k141_4159	12.146429	-17.65014
k141_20194	41.81724	4.1729445
k141_4161	36.096874	-48.77815
k141_28232	-50.597076	-37.349567
k141_24196	41.989017	36.33126
k141_4162	-37.14262	10.415444
k141_8196	-48.28155	16.343527
k141_28233	-44.446167	14.16355
k141_28234	18.31204	19.95414
k141_24197	37.12147	20.99035
k141_28236	5.4864597	-25.68362
k141_4166	-45.368576	-34.949535
k141_4168	-29.560669	28.11401
k141_8204	11.745685	-23.503717
k141_24198	-44.167572	23.955713
k141_4169	-36.552067	11.602763
k141_28238	39.624874	22.559847
k141_4170	-30.611244	-59.630302
k141_24199	-4.712554	29.489239
k141_8207	-10.679012	-50.0201
k141_28241	-1.6637309	-45.33697
k141_8209	12.17518	-0.8713994
k141_24203	10.4335375	-5.046785
k141_4171	-19.664413	68.38009
k141_12179	-21.220097	64.06933
k141_4174	-13.992266	-11.875643
k141_8211	-11.393083	70.77197
k141_20195	-46.912395	23.855986
k141_24207	-4.7182446	29.461843
k141_4176	20.225578	-4.551048
k141_8215	12.913549	3.291364
k141_28246	-48.05692	-36.05315
k141_8217	-6.105039	16.308992
k141_8218	-3.1797407	66.16569
k141_12182	9.202889	-26.990416
k141_16075	-7.4105015	-71.949554
k141_20197	28.201908	26.446484
k141_28252	-5.5600777	-38.373596
k141_8219	1.4331704	-54.959038
k141_4181	51.079914	9.27971
k141_16078	-1.5099132	21.362982
k141_24222	7.8391123	-13.325038
k141_8221	13.30086	23.522305
k141_24223	7.4305243	-2.2634566
k141_4182	-52.171658	18.9142
k141_20200	-2.247377	-18.618433
k141_28254	29.090605	-1.3804532
k141_16084	-2.885604	71.08535
k141_24225	-9.497936	64.5624
k141_20203	25.099173	48.352608
k141_8226	-3.2727482	69.38321
k141_12192	-19.688074	58.3619
k141_12193	-5.817829	26.138498
k141_20206	45.528187	46.443596
k141_8229	2.5340188	-41.186085
k141_24226	3.4534416	-37.553936
k141_28255	11.827849	-23.23899
k141_12195	22.18598	6.1540546
k141_4184	44.221855	22.395851
k141_8230	22.935293	-8.726197
k141_24228	15.725554	25.979744
k141_28257	6.041715	-28.72918
k141_12198	-10.223925	32.093216
k141_8232	-2.404247	-15.64357
k141_24230	-44.80407	-32.549072
k141_20207	-8.899666	49.39159
k141_28259	13.286732	-15.781308
k141_8233	9.49434	32.519592
k141_28260	15.859041	13.60018
k141_4190	30.108654	-30.7617
k141_24233	-3.0305893	-10.4523735
k141_12203	-5.108225	23.009083
k141_16085	-52.833767	-36.261036
k141_28262	-20.142935	1.1395441
k141_24235	14.920046	1.4838516
k141_16086	-1.522157	21.382406
k141_12205	5.2075424	6.917654
k141_24236	-21.14934	-25.241463
k141_8237	-17.379757	57.251324
k141_4194	-51.75966	-32.64705
k141_24237	7.6360035	-23.4064
k141_16088	15.220875	-41.145683
k141_16089	-41.250237	36.16645
k141_12210	9.26	-45.40113
k141_28268	29.440344	2.1262047
k141_16091	-5.0851235	-13.277545
k141_8239	-0.05230967	-2.2862206
k141_12211	-29.537258	-18.392454
k141_24242	37.37241	33.99321
k141_16095	20.87412	48.551914
k141_12213	2.4407375	-35.5349
k141_8244	-10.23355	-14.250761
k141_24243	-48.221897	22.877703
k141_4196	-6.8161983	57.716713
k141_28269	38.281933	12.534241
k141_4197	25.1625	-26.160398
k141_8250	-1.4016805	23.89557
k141_20211	50.246914	6.209792
k141_4198	38.122536	-48.48035
k141_28271	-32.216484	-61.357506
k141_12220	8.407805	35.981617
k141_4199	-12.778174	-10.547218
k141_148	-6.931991	-70.39259
k141_24244	1.6995296	18.919636
k141_4200	14.70334	17.786077
k141_28275	-22.657965	-50.917423
k141_8256	30.386772	-50.81054
k141_4202	-36.40839	3.8090348
k141_12224	33.483257	14.186112
k141_24246	13.400261	-32.45232
k141_12225	-42.479774	17.353453
k141_16096	44.017666	20.579296
k141_24247	-42.77797	12.376696
k141_8262	18.870937	-10.752942
k141_12226	-12.726064	6.464736
k141_4203	-43.75671	25.31515
k141_28280	-9.870173	56.42654
k141_8264	-28.719679	-57.84825
k141_12228	-13.8583555	-27.173311
k141_24250	-16.084888	-0.69897705
k141_8265	2.891543	-23.684534
k141_16100	4.8270245	2.885359
k141_12229	8.408719	35.956676
k141_24252	26.114195	-22.220928
k141_16101	10.664224	-5.607012
k141_28284	-49.20664	-31.56608
k141_12231	-10.466607	-53.33225
k141_8269	24.30491	-13.502153
k141_24253	-16.816164	-5.255317
k141_20212	-23.12761	66.37986
k141_16102	5.1989546	-7.393203
k141_28285	20.939814	-26.264297
k141_28286	-29.082994	6.3731875
k141_8270	-6.1865454	-50.554615
k141_16104	-3.0980806	65.29968
k141_151	54.939938	4.6830482
k141_20213	-38.92621	-45.166733
k141_28288	-21.211462	-67.46484
k141_12235	24.040098	25.29727
k141_152	13.073133	-25.380962
k141_16108	15.069783	-42.334003
k141_12236	-15.462487	65.1086
k141_16109	15.239991	27.527863
k141_28294	-30.410608	-56.26265
k141_24255	-12.868698	-29.015772
k141_20214	-13.594827	-8.071852
k141_28295	-30.223692	-59.16469
k141_8272	42.45549	18.256926
k141_12239	30.064938	43.11887
k141_24257	20.351694	-14.803898
k141_16111	-12.895403	62.072037
k141_20217	-38.5544	-34.22131
k141_16113	-21.247297	22.409912
k141_24261	-8.3140745	53.079773
k141_8279	-29.837053	-63.182034
k141_28304	32.449917	43.409245
k141_24262	-7.9572635	60.05204
k141_12243	-35.808838	17.387741
k141_171	16.487513	-6.09277
k141_20218	-16.334776	16.710342
k141_12244	18.116001	21.618637
k141_28308	-53.262096	18.963537
k141_8285	-2.659187	-7.954105
k141_173	-55.94414	-34.734
k141_174	8.637562	9.014693
k141_8288	-14.979954	-13.624995
k141_12248	-29.911263	28.99722
k141_20223	-6.6554475	16.173708
k141_16116	16.9897	-16.585491
k141_8289	38.074886	43.15751
k141_24263	47.83022	34.057465
k141_28313	10.541176	-6.9475183
k141_176	28.743488	-54.01156
k141_24264	12.837055	28.051954
k141_12253	-5.1074066	-31.637638
k141_28315	-32.609066	12.286639
k141_16117	-10.224972	20.871696
k141_12255	-3.5490324	23.955252
k141_8294	39.106018	36.347084
k141_28317	22.98658	-6.063729
k141_181	7.9628386	-28.995348
k141_16119	-35.829487	7.778767
k141_24272	5.1434665	35.93405
k141_8296	3.9681141	-31.949741
k141_12258	21.217514	8.159023
k141_28319	11.414855	25.325752
k141_24273	-9.4135685	-4.0123057
k141_20225	-51.13385	-39.219852
k141_28321	-30.7862	-62.10173
k141_182	-30.42754	12.591379
k141_12263	-2.6901274	68.06619
k141_20228	-29.349005	-62.92938
k141_4204	17.031862	-18.00914
k141_24276	-13.471079	-58.110798
k141_16127	-11.143907	-6.0950356
k141_184	23.314322	-4.4965806
k141_20229	8.545452	-12.471935
k141_16128	-4.150591	-25.127575
k141_24278	-51.49159	-31.73395
k141_20230	19.043076	-54.05725
k141_186	-5.9435267	-41.532288
k141_20232	21.582352	31.539406
k141_16133	-9.153904	7.3375173
k141_20235	6.379799	-28.135246
k141_16135	-23.006983	-4.195855
k141_24279	17.088335	-21.012302
k141_190	-38.797314	-31.197289
k141_16137	4.828131	-17.357029
k141_12271	46.982536	7.0943
k141_4215	43.17473	39.774975
k141_20239	-17.138006	-52.002132
k141_193	25.309624	-47.235905
k141_20240	-38.025528	-38.030594
k141_24284	-17.33565	64.841934
k141_20241	12.682095	9.005904
k141_16141	-52.658417	-34.747906
k141_20242	-8.239221	-25.952621
k141_24286	-20.706556	2.3042228
k141_196	-1.9811413	-35.263874
k141_12273	-11.424242	52.148754
k141_8298	-4.7589984	-49.663406
k141_4221	-49.245014	20.397131
k141_12274	13.197991	9.877192
k141_199	24.175766	5.8495564
k141_12278	-10.686179	-21.176043
k141_24290	4.0939984	2.192205
k141_4222	-48.84636	-43.04102
k141_203	2.1199334	-17.653204
k141_28331	-17.664911	62.87368
k141_24291	-36.380314	19.06745
k141_205	13.441527	23.492418
k141_8302	33.56844	4.7266216
k141_16144	-9.903767	27.022114
k141_24292	-25.739378	1.3098077
k141_24294	21.991337	-52.229927
k141_12279	43.45729	7.252952
k141_8304	27.65823	9.876194
k141_20247	49.57359	3.7530863
k141_24295	19.107742	-30.959826
k141_206	46.631695	8.840708
k141_12280	18.27337	23.477694
k141_4223	-53.519077	-35.265522
k141_12282	6.956279	-10.761078
k141_20248	31.004847	-48.043266
k141_16150	55.645496	8.682859
k141_24296	39.196743	34.29
k141_4225	6.703802	21.239216
k141_210	34.78425	26.079966
k141_16152	-1.2913896	66.59107
k141_8310	43.40726	35.734753
k141_4226	25.740429	-4.3803906
k141_24297	34.947933	16.285728
k141_28340	-12.404489	17.983883
k141_12284	-39.734123	19.120193
k141_16154	39.142773	40.885662
k141_28341	-14.90574	-58.203327
k141_8312	40.092796	32.533047
k141_219	26.040619	-15.862731
k141_12287	-43.26609	20.468409
k141_8315	-11.395326	-50.827873
k141_28344	-19.26677	-52.971397
k141_4228	-35.14529	18.345455
k141_222	-12.182696	-21.631304
k141_4229	31.943474	-43.88185
k141_8318	-0.36631283	66.888115
k141_12289	-33.72381	12.354485
k141_24298	56.788918	5.8208075
k141_16157	47.63159	37.48275
k141_4230	-15.425013	7.624303
k141_230	8.090241	-44.921513
k141_4232	-8.7729645	20.197433
k141_231	-25.3396	10.408964
k141_28347	-48.244938	28.024715
k141_28349	-10.3063755	56.87032
k141_4233	-12.442435	71.16243
k141_16158	32.748756	11.217953
k141_8328	-9.618318	25.379166
k141_232	-55.321503	-34.96551
k141_16162	24.979572	26.969875
k141_12290	-20.838871	60.722576
k141_24308	-46.127884	25.363697
k141_8334	-19.24188	3.5809848
k141_233	-3.758154	24.074654
k141_4239	-11.542132	-54.216404
k141_8335	-29.98908	28.144064
k141_12294	-30.499779	24.678474
k141_28358	17.289038	-13.860323
k141_24312	20.963692	29.222275
k141_16168	-50.71895	15.824371
k141_12296	-8.219206	-16.802567
k141_8339	-31.799143	35.11324
k141_28360	6.4641037	5.011408
k141_16170	-26.37225	10.7159195
k141_12298	18.508636	5.9844465
k141_8340	45.61449	8.938861
k141_16172	23.79943	43.389896
k141_28361	27.47168	-2.0076222
k141_8345	-31.626387	-64.46381
k141_28368	8.631443	-22.65249
k141_12308	-28.684513	-19.474442
k141_24317	-50.550884	-36.443226
k141_16177	-47.146	-43.62388
k141_24318	-39.942738	35.84558
k141_16180	-7.2027416	9.948915
k141_28373	23.569765	-43.5045
k141_4240	54.843296	5.132666
k141_8352	37.394085	32.3526
k141_16181	-30.994047	32.118664
k141_12312	-0.68266994	29.599548
k141_24319	46.573315	41.342587
k141_16182	16.803843	23.20192
k141_16183	13.185396	41.153168
k141_12315	-34.640606	10.485593
k141_234	-10.869861	-71.033936
k141_12316	30.823992	37.77136
k141_16184	19.63109	26.703024
k141_8353	-12.270149	-2.0281925
k141_12317	-6.0955977	4.860618
k141_4243	-14.356077	-55.241467
k141_236	-0.34527063	-7.380586
k141_16187	-1.0932101	28.049166
k141_4244	3.9766924	-42.565495
k141_12318	-20.437033	-1.2984025
k141_16188	-27.758823	-19.459242
k141_4246	15.016296	-49.36504
k141_240	3.2110286	-31.921185
k141_241	-0.67351973	26.95284
k141_8366	-23.465115	22.936333
k141_12321	19.828674	21.233027
k141_16189	37.183365	38.711044
k141_4248	0.62986916	-7.2759604
k141_8368	23.674295	-14.909393
k141_16191	-16.070515	-36.28466
k141_12324	29.882507	52.047226
k141_242	-12.482928	2.4714267
k141_4250	29.017292	37.165028
k141_244	0.48653895	-45.683197
k141_16194	8.197929	33.413883
k141_28375	54.176315	6.194723
k141_4254	-7.2614264	18.63641
k141_12329	-0.7642673	-15.54944
k141_24320	53.658813	5.7648993
k141_16196	13.442903	34.341755
k141_8379	-10.29826	-41.949383
k141_12330	-5.470026	25.526363
k141_28381	-8.93448	-11.163778
k141_8382	23.275942	46.57136
k141_28384	8.786833	-44.45599
k141_247	41.929157	34.73278
k141_8385	3.702146	-20.708729
k141_4256	20.308222	1.4086915
k141_28388	20.503283	35.695473
k141_250	27.766682	-48.04786
k141_24332	-3.308034	11.4643135
k141_8391	-17.02252	-23.417362
k141_24333	-29.653786	-60.292145
k141_4261	12.364813	26.800491
k141_28394	17.265984	-12.731787
k141_4263	-31.895338	15.188799
k141_28395	10.81268	3.8536987
k141_253	4.9458523	-3.723637
k141_24334	-51.989487	20.421772
k141_28396	-19.279871	-50.923485
k141_4265	7.598515	14.877203
k141_24336	3.8442936	-1.6140319
k141_4266	-46.211823	-38.045876
k141_4269	-33.851505	29.836695
k141_255	20.111761	0.83851874
k141_24343	25.876333	28.109434
k141_28400	36.822407	7.0629573
k141_4272	-13.551213	-37.82042
k141_24345	-0.983135	-4.815037
k141_257	-43.411934	-46.02136
k141_28403	35.106907	-49.617825
k141_24346	31.736515	21.464428
