	UMAP1	UMAP2
k141_20106	5.9732447	3.5096154
k141_4074	5.556022	2.9167495
k141_12084	3.834088	4.9295864
k141_20108	4.411308	16.844168
k141_81	8.581942	1.7302395
k141_24103	8.889145	5.4888253
k141_8095	5.416368	16.331053
k141_28135	5.7679915	-6.1133213
k141_20109	4.626956	16.77838
k141_8096	-0.4654127	4.4820004
k141_28136	6.1681333	6.0296655
k141_24110	4.151693	4.3025107
k141_28138	5.594682	4.116517
k141_20113	7.0480566	5.6924305
k141_8101	7.372355	2.0904522
k141_4075	1.9983371	4.750991
k141_28139	7.8320794	1.7947398
k141_24113	5.5072722	3.9714196
k141_20115	3.3649733	3.9439719
k141_28141	4.307727	17.035511
k141_4077	8.0339365	5.4948144
k141_24114	5.1188226	14.872439
k141_8104	9.0693445	8.211559
k141_28144	4.3887763	3.9960294
k141_4080	-2.0721676	3.9199307
k141_91	7.3641615	-5.701342
k141_4081	6.065918	-4.762548
k141_28146	2.2805862	4.3962355
k141_20119	7.0166826	5.583695
k141_8109	4.195134	17.316004
k141_93	4.423599	17.00207
k141_4082	4.0309525	3.932534
k141_4085	6.0747356	4.2915063
k141_12092	8.066108	5.865633
k141_24116	6.0286403	-6.3018045
k141_24117	6.3796377	6.2300363
k141_20127	7.379443	-5.868495
k141_12093	5.9620404	-5.0702643
k141_8111	9.0138855	5.4243464
k141_4086	6.292913	5.891005
k141_8112	6.144502	6.4620194
k141_16028	8.212582	15.086675
k141_8113	7.7209826	8.181419
k141_28154	4.664291	3.5454166
k141_24119	8.816477	7.7352185
k141_20130	-1.6519505	4.3483987
k141_4091	6.71642	4.1485424
k141_24121	2.0558467	4.094849
k141_95	8.033551	14.967355
k141_24122	7.2119956	7.0141687
k141_12101	8.824488	1.3015857
k141_20132	4.828175	3.1004577
k141_98	3.4271457	5.0835023
k141_28158	5.834058	-6.4247336
k141_16029	5.41817	14.917994
k141_4096	7.40882	2.2539911
k141_16030	2.2377684	4.7701406
k141_28160	5.6725674	4.8274927
k141_12104	5.2832294	5.176749
k141_102	7.77177	0.984221
k141_16031	5.706249	5.1926756
k141_20136	5.578279	-6.272111
k141_104	2.954784	3.9411871
k141_28164	3.4585803	3.5431912
k141_12105	7.4337687	5.9525213
k141_20138	4.15299	5.4161415
k141_28165	8.124443	8.319392
k141_12107	8.811879	1.2629731
k141_20139	8.221523	1.6154172
k141_8116	9.509497	5.2607446
k141_12108	-1.638112	3.9789813
k141_4097	2.9849575	5.538694
k141_110	2.3900826	4.3619337
k141_28171	1.277117	5.1119723
k141_16042	6.2930818	6.0954
k141_28172	1.5492774	4.921278
k141_12110	0.98469657	5.979209
k141_112	7.267069	1.8900642
k141_16043	7.5119576	7.5242457
k141_20140	6.9828	5.2130275
k141_8125	7.7764144	1.3064678
k141_113	6.625296	1.7313745
k141_4099	8.81229	7.8361506
k141_20143	6.418854	14.351406
k141_12113	-1.6941149	4.222546
k141_28176	6.1520133	13.950948
k141_20145	5.383146	4.772725
k141_12114	7.3038044	-5.787991
k141_16045	4.3715167	5.2332
k141_24129	8.069636	14.996834
k141_8127	5.2485476	16.745365
k141_16047	7.2655363	1.4979615
k141_20146	5.844671	-6.1589828
k141_120	8.236685	1.0456432
k141_28179	3.9800813	3.995186
k141_12116	6.717485	2.243386
k141_24131	4.596459	16.727665
k141_4110	6.66813	5.665949
k141_8129	5.129382	16.92552
k141_16048	5.460823	16.205788
k141_28181	7.0902486	2.4984891
k141_12117	7.938762	8.174932
k141_20147	8.471419	5.534312
k141_16050	0.6380769	5.280802
k141_8134	5.9835014	5.6906695
k141_16051	6.1798954	3.3410473
k141_24133	8.779069	5.991794
k141_12120	2.0194075	4.645032
k141_4112	5.057634	16.906351
k141_20151	2.9689226	3.9511454
k141_28187	6.8602405	1.7368107
k141_16052	8.121241	1.7389796
k141_124	5.173514	2.9935446
k141_24134	6.6800175	3.5439534
k141_4114	0.55505496	5.206316
k141_125	5.7710176	6.0934296
k141_24135	4.5939236	16.435383
k141_8136	7.366573	5.737638
k141_28189	6.897713	5.5183854
k141_28190	7.679167	8.231116
k141_8137	8.155408	8.293393
k141_24137	6.275956	2.1721008
k141_4116	8.199005	7.0929837
k141_20156	4.9501534	16.989128
k141_28192	-1.457651	4.20208
k141_126	1.6667025	4.8866367
k141_12123	6.9677954	5.8467236
k141_20159	5.988619	2.3252008
k141_8141	-1.7930688	4.4341965
k141_12125	6.4353366	5.932873
k141_24140	8.299797	7.076703
k141_20160	5.625657	5.447513
k141_127	5.530786	5.2340693
k141_16053	1.4691737	5.3567433
k141_28199	4.4924207	16.96583
k141_8146	2.8056493	4.2839565
k141_28202	5.6704726	4.9342113
k141_16057	-1.7571051	4.3052073
k141_128	1.4038898	4.654335
k141_8149	7.8070602	8.471314
k141_28203	0.14027226	6.397264
k141_16058	7.3487587	1.7472976
k141_131	2.8990607	5.08551
k141_4119	5.8460045	-6.778523
k141_24145	5.922464	-6.68015
k141_16060	5.7615833	-4.9005136
k141_8153	7.6157784	8.250403
k141_12126	5.7125974	-6.2099743
k141_4121	11.313132	2.8239412
k141_24146	4.255026	4.82111
k141_4122	4.813269	4.7574153
k141_16062	2.0792017	5.254563
k141_28206	4.662451	16.834305
k141_20165	7.777018	5.9869885
k141_140	0.10854328	4.9951262
k141_12129	3.5529613	4.8837895
k141_28207	4.6088476	3.378121
k141_141	2.0153744	4.470835
k141_20166	4.6456337	2.9541242
k141_142	5.6109796	6.179084
k141_20168	6.46118	14.474001
k141_12132	0.26198927	6.100487
k141_28211	6.496323	-5.859918
k141_16066	8.047721	6.768014
k141_144	4.510529	3.4274719
k141_12133	5.2948174	17.057167
k141_8162	3.2560387	5.4371324
k141_24155	8.8774185	1.6193981
k141_16069	5.519792	5.0716276
k141_28215	4.2280855	4.2140493
k141_24156	4.960476	3.8785517
k141_146	4.649138	4.79174
k141_8164	2.3746784	4.5809712
k141_16071	-0.959916	4.3574667
k141_28218	6.8036585	4.692656
k141_16072	6.333686	-4.8060317
k141_20169	5.9230113	-7.022235
k141_12139	1.8344883	4.222355
k141_20170	2.6397812	4.006279
k141_24163	5.571874	15.473359
k141_16073	5.8625116	-5.981005
k141_24165	4.9086356	16.27226
k141_12141	5.2720413	4.915046
k141_8165	7.8220205	2.2792153
k141_28219	3.806492	3.4273224
k141_12143	7.4438343	-6.002148
k141_20171	6.690891	4.9859085
k141_4123	8.954986	5.2021203
k141_28220	4.6664147	4.9506288
k141_12144	2.0582242	4.05751
k141_24166	8.715862	1.6117846
k141_28222	6.807193	-5.895993
k141_24167	0.25092667	5.4052534
k141_20175	0.46735832	5.6164017
k141_8171	-0.62590176	4.821056
k141_20176	2.7647545	3.570819
k141_8172	4.4708343	17.0617
k141_12148	7.9193816	1.5059203
k141_4131	2.2480557	4.6416326
k141_20177	6.1406174	14.58686
k141_4132	2.2300432	3.8791785
k141_28223	3.920527	4.9377565
k141_20180	5.302438	5.7618766
k141_4133	0.6498453	4.8513002
k141_8173	6.3528857	2.8173366
k141_20182	11.291418	2.8318589
k141_28225	5.2059875	5.5291424
k141_4136	5.608199	6.074419
k141_12154	7.366278	2.4258537
k141_24169	7.9221764	5.6674623
k141_12157	5.866645	6.3500285
k141_4140	5.002607	5.776728
k141_20183	7.5739737	5.3641148
k141_12160	2.1890433	4.44651
k141_28226	6.010429	-7.0392795
k141_12161	4.763929	4.314337
k141_4145	4.3625107	5.121238
k141_24173	6.1450515	-5.444165
k141_12162	2.0049133	4.746434
k141_4147	-2.0256047	4.2491875
k141_24177	11.318253	2.8174236
k141_12164	5.798755	6.1566987
k141_24178	7.5508137	7.385294
k141_8176	9.438659	5.325071
k141_20184	6.537624	-6.722072
k141_20185	0.5426122	4.854796
k141_4151	3.6842425	5.4657574
k141_24182	5.397773	16.444288
k141_4153	6.1797776	-5.384427
k141_24183	2.8171268	4.1228943
k141_8181	8.350325	1.6285279
k141_20187	6.321189	4.7706223
k141_12170	9.456667	8.203259
k141_20189	7.693922	8.146022
k141_24190	4.2275863	4.353899
k141_20191	4.0762067	4.5284677
k141_28229	5.257177	17.262962
k141_20192	7.8372593	1.6975237
k141_4155	7.101037	2.0000408
k141_12174	6.0512233	-5.494133
k141_4156	5.894361	-5.4531736
k141_8189	6.2006726	3.614349
k141_24193	3.916087	4.837848
k141_4158	0.06164235	5.4340663
k141_12177	5.04354	4.2137456
k141_24195	2.2945065	5.2054744
k141_4159	3.3394632	4.799518
k141_20194	7.6350417	5.218881
k141_4161	-2.0797267	3.8733132
k141_28232	5.014988	17.125994
k141_24196	8.423453	7.2763395
k141_4162	7.4772506	1.8577383
k141_8196	8.367451	1.8304131
k141_28233	7.8086576	1.3535893
k141_28234	5.90306	6.228506
k141_24197	7.525363	6.080846
k141_28236	2.8583336	4.791475
k141_4166	4.7385616	16.879309
k141_4168	7.2097178	1.3939948
k141_8204	2.8273594	5.235496
k141_24198	8.768783	1.7513919
k141_4169	7.6374764	2.124197
k141_28238	7.888719	6.2500668
k141_4170	6.460005	14.869599
k141_24199	7.0658393	4.161756
k141_8207	0.4086704	5.7746725
k141_28241	0.7496966	5.218256
k141_8209	4.754171	4.4012666
k141_24203	4.4983945	4.825607
k141_4171	5.971923	-6.79727
k141_12179	5.7771707	-6.5980864
k141_4174	3.8725967	3.409932
k141_8211	6.872323	-6.4101048
k141_20195	8.79512	1.3901042
k141_24207	7.0318675	4.0978923
k141_4176	3.9849973	4.809014
k141_8215	5.3559527	4.8661327
k141_28246	4.8252306	17.016233
k141_8217	6.2079124	4.0128736
k141_8218	7.323874	-5.8128824
k141_12182	2.515641	4.947456
k141_16075	8.331152	15.176245
k141_20197	6.716922	6.885646
k141_28252	1.3720312	4.6526294
k141_8219	0.159674	5.4771266
k141_4181	8.54211	5.4603105
k141_16078	6.5238466	3.9002428
k141_24222	3.459108	4.9629345
k141_8221	6.7997065	5.9679875
k141_24223	4.5226445	4.973565
k141_4182	8.763748	1.3847561
k141_20200	2.4526522	4.026487
k141_28254	5.6943364	4.9562674
k141_16084	7.45947	-5.9789925
k141_24225	6.4378715	-5.8522997
k141_20203	7.4946117	7.968396
k141_8226	7.5495787	-6.0775156
k141_12192	5.683728	-6.1167936
k141_12193	6.677446	3.8680384
k141_20206	8.843751	8.263759
k141_8229	1.1456158	5.327876
k141_24226	1.5540533	5.2838483
k141_28255	2.64671	5.2697487
k141_12195	5.8465543	5.1747704
k141_4184	8.606265	6.76066
k141_8230	4.76035	5.5386252
k141_24228	6.3267717	6.008065
k141_28257	2.4496465	4.9120893
k141_12198	6.9704223	3.6789205
k141_8232	2.5021245	4.5677853
k141_24230	4.7120337	16.681974
k141_20207	5.8701034	-4.886174
k141_28259	2.8749285	4.684484
k141_8233	7.4103384	5.914466
k141_28260	5.7144866	5.586976
k141_4190	-1.0023888	4.003948
k141_24233	3.7336278	4.2142224
k141_12203	6.7928977	4.124886
k141_16085	5.039189	17.380695
k141_28262	4.886568	3.119878
k141_24235	5.1809273	4.454706
k141_16086	6.6871	4.5038977
k141_12205	5.402939	4.3916144
k141_24236	3.3514497	3.2222168
k141_8237	5.644132	-5.9883757
k141_4194	4.635254	17.190266
k141_24237	2.8861234	4.714311
k141_16088	0.68842757	4.2522745
k141_16089	7.7312045	1.0774407
k141_12210	0.6619117	4.553581
k141_28268	6.080908	4.8402386
k141_16091	3.3264806	4.229254
k141_8239	4.3091817	4.391681
k141_12211	11.310414	2.8319616
k141_24242	8.123702	7.259102
k141_16095	7.4549274	7.8237967
k141_12213	1.5743021	5.173636
k141_8244	4.1595454	3.6146991
k141_24243	8.584072	1.5639744
k141_4196	6.17132	-5.3113136
k141_28269	7.559488	5.6532006
k141_4197	3.5683084	4.3145337
k141_8250	6.6568313	4.255032
k141_20211	8.87487	5.2420444
k141_4198	-1.9758458	3.9620996
k141_28271	6.4018297	14.602177
k141_12220	6.67149	5.690107
k141_4199	3.6292655	3.6816392
k141_148	8.199177	15.078587
k141_24244	6.0307384	4.601008
k141_4200	6.28739	5.723239
k141_28275	5.338322	15.598818
k141_8256	-1.9501873	4.337392
k141_4202	6.9249845	2.0475266
k141_12224	6.9018793	5.8678026
k141_24246	2.2479281	5.058874
k141_12225	8.011808	1.3683783
k141_16096	8.6949215	6.579722
k141_24247	7.6229534	1.6397738
k141_8262	3.8220396	4.945579
k141_12226	4.8687634	3.347076
k141_4203	8.591387	1.2346507
k141_28280	6.0837946	-5.6368213
k141_8264	6.3434963	14.877181
k141_12228	2.0915258	4.0088077
k141_24250	4.790951	3.308313
k141_8265	2.4501045	4.0676994
k141_16100	5.1465592	4.311187
k141_12229	6.7124147	5.677071
k141_24252	3.5187078	4.3210063
k141_16101	4.2593646	5.154321
k141_28284	4.5980487	17.068747
k141_12231	0.28725478	6.0044284
k141_8269	4.2708974	5.501808
k141_24253	5.0053096	2.852423
k141_20212	6.009251	-6.9609923
k141_16102	3.5424042	4.5838504
k141_28285	3.9734175	4.467217
k141_28286	6.799988	2.0250168
k141_8270	0.49251753	5.594884
k141_16104	7.3106904	-5.7758994
k141_151	9.377778	5.326748
k141_20213	5.4767766	15.803711
k141_28288	6.032321	13.901871
k141_12235	6.4375124	6.737072
k141_152	2.562618	5.225708
k141_16108	-0.31934828	4.429166
k141_12236	5.8498993	-6.3094926
k141_16109	6.441719	6.289807
k141_28294	6.342709	14.888858
k141_24255	2.4900692	3.8765426
k141_20214	3.9919405	3.1756434
k141_28295	6.400395	14.875435
k141_8272	8.223594	6.2064557
k141_12239	7.7975593	8.072657
k141_24257	4.2018967	5.434346
k141_16111	5.912512	-6.37572
k141_20217	4.6172237	16.499697
k141_16113	6.63424	2.2877588
k141_24261	6.1422567	-5.3046393
k141_8279	6.549113	14.347545
k141_28304	7.6370974	7.943442
k141_24262	6.168426	-5.527963
k141_12243	7.802914	2.038409
k141_171	4.426946	4.735967
k141_20218	6.5855565	2.7152774
k141_12244	5.303332	5.4356127
k141_28308	8.68262	1.3464763
k141_8285	4.6460915	4.357258
k141_173	4.8744416	17.061762
k141_174	5.4554234	4.877624
k141_8288	3.158506	3.4456465
k141_12248	7.305138	0.9644874
k141_20223	6.131123	3.569574
k141_16116	3.9050016	5.2687387
k141_8289	8.093158	7.8813877
k141_24263	9.027534	7.561556
k141_28313	4.018474	4.888993
k141_176	-1.8341517	4.5178156
k141_24264	6.2446194	5.810059
k141_12253	2.2821507	4.3432956
k141_28315	7.28178	2.1454523
k141_16117	6.7252192	3.5122502
k141_12255	6.465411	4.9819684
k141_8294	8.426241	7.591273
k141_28317	4.3820596	4.909218
k141_181	2.0154347	5.1619673
k141_16119	7.375617	2.3040426
k141_24272	7.1315827	5.6979003
k141_8296	2.3153813	4.919007
k141_12258	5.6087375	5.416254
k141_28319	6.5772285	5.196232
k141_24273	3.540266	3.793886
k141_20225	5.1989307	17.164085
k141_28321	6.4428253	14.597529
k141_182	7.1159134	2.219432
k141_12263	7.308727	-5.990669
k141_20228	6.4956145	14.403594
k141_4204	3.7723691	5.6955667
k141_24276	0.17877907	6.342302
k141_16127	4.509931	3.3137689
k141_184	4.6022706	5.0667768
k141_20229	3.7228563	4.435487
k141_16128	2.1106918	4.5343466
k141_24278	4.4224553	17.173635
k141_20230	-1.142539	4.5135307
k141_186	1.2937315	5.2079515
k141_20232	7.010574	6.7650833
k141_16133	5.26544	3.2479706
k141_20235	2.550612	4.9491453
k141_16135	5.560412	2.8890386
k141_24279	3.1676497	5.3801875
k141_190	4.8010273	16.641983
k141_16137	3.4750266	4.155423
k141_12271	8.147088	5.306977
k141_4215	8.870333	8.018262
k141_20239	5.2575054	14.988309
k141_193	-1.2218689	4.3061113
k141_20240	4.8852844	16.271027
k141_24284	5.8357177	-6.689894
k141_20241	4.905309	5.024235
k141_16141	4.791044	17.40615
k141_20242	1.6951281	4.1360407
k141_24286	5.427741	2.8741536
k141_196	1.6130459	4.9030237
k141_12273	5.8464847	-5.1774445
k141_8298	0.96149987	5.600768
k141_4221	8.566327	1.1862803
k141_12274	5.4558644	5.1137295
k141_199	5.4591036	5.3920245
k141_12278	3.1394017	3.7416143
k141_24290	5.433991	4.6994286
k141_4222	5.308544	16.95161
k141_203	2.491182	4.0658164
k141_28331	5.749912	-6.4423127
k141_24291	7.959764	2.4130936
k141_205	6.603888	5.9693317
k141_8302	6.979347	5.1928535
k141_16144	7.1828537	3.9202251
k141_24292	5.281343	2.8767576
k141_24294	-1.0975082	4.4370403
k141_12279	7.8223534	5.272693
k141_8304	5.871974	5.642537
k141_20247	8.595961	5.398836
k141_24295	2.0995288	4.277885
k141_206	8.089094	5.3777266
k141_12280	6.0500975	5.993201
k141_4223	4.98925	17.238203
k141_12282	3.7475984	4.6584053
k141_20248	-1.4540482	3.940315
k141_16150	9.117221	5.555384
k141_24296	8.29312	7.287831
k141_4225	6.6247153	4.623285
k141_210	7.622507	6.5395913
k141_16152	7.3660755	-5.843257
k141_8310	8.606313	7.4389815
k141_4226	4.6637015	5.068881
k141_24297	6.6527147	5.710277
k141_28340	6.727349	3.610907
k141_12284	8.167914	2.0439813
k141_16154	8.434442	7.8275
k141_28341	0.193722	6.231752
k141_8312	8.398066	7.2476697
k141_219	4.2354174	5.4139767
k141_12287	8.318793	1.295548
k141_8315	0.2651101	5.9534583
k141_28344	5.6023383	14.882312
k141_4228	7.9091954	2.2661188
k141_222	3.1714087	3.7816646
k141_4229	-1.6214002	3.993089
k141_8318	7.3856764	-5.807228
k141_12289	7.3350496	2.1582747
k141_24298	9.293022	5.4244723
k141_16157	9.152344	7.6469965
k141_4230	5.8904	2.8112214
k141_230	0.68524504	4.8557544
k141_4232	6.4615626	3.5632389
k141_231	6.4972105	2.5972538
k141_28347	8.695452	1.6298573
k141_28349	5.887127	-5.9060097
k141_4233	6.8011684	-6.5165405
k141_16158	6.8232794	5.695895
k141_8328	6.871092	3.8198774
k141_232	4.788012	17.261162
k141_16162	6.359232	6.5903416
k141_12290	5.66181	-6.3969975
k141_24308	8.738964	1.4242872
k141_8334	5.378466	3.0029013
k141_233	6.714416	4.4778967
k141_4239	0.16839771	6.240894
k141_8335	7.3524265	1.2159286
k141_12294	7.1934404	1.4788637
k141_28358	3.6851413	5.101477
k141_24312	6.8205214	6.0995574
k141_16168	8.454377	1.6244063
k141_12296	3.0994384	3.773325
k141_8339	7.376723	1.218675
k141_28360	5.244721	4.266617
k141_16170	6.885527	2.3706563
k141_12298	5.9152617	5.3479123
k141_8340	7.64902	5.324248
k141_16172	7.4840264	7.796576
k141_28361	5.823797	4.953472
k141_8345	6.506905	14.455489
k141_28368	2.8457904	5.0085316
k141_12308	11.303804	2.811469
k141_24317	4.861643	17.266846
k141_16177	5.4496064	16.869715
k141_24318	7.5408297	1.2421278
k141_16180	5.4448547	3.2563353
k141_28373	-0.96025664	4.3096523
k141_4240	9.321373	5.311486
k141_8352	8.328746	7.6108027
k141_16181	7.0606976	1.1095126
k141_12312	6.984805	4.463899
k141_24319	9.118056	7.982905
k141_16182	6.390075	6.00919
k141_16183	6.890492	6.3949113
k141_12315	7.225514	1.9387363
k141_234	8.040248	14.9906845
k141_12316	7.499563	7.4676595
k141_16184	7.0466933	7.013012
k141_8353	4.4578333	3.3956256
k141_12317	5.1505723	3.948305
k141_4243	0.10346222	6.2801065
k141_236	3.873662	4.4770837
k141_16187	6.9134297	4.4669275
k141_4244	1.1348892	5.055891
k141_12318	4.859014	3.0116775
k141_16188	11.290586	2.8148513
k141_4246	-0.8633278	4.494274
k141_240	1.7418718	4.8575587
k141_241	6.8482847	4.3373513
k141_8366	6.996396	1.4672692
k141_12321	5.9938583	6.2100863
k141_16189	7.9436445	7.472647
k141_4248	4.0864253	4.5379944
k141_8368	4.0997252	5.326016
k141_16191	1.1712804	4.133684
k141_12324	7.6730757	8.218803
k141_242	4.8408127	3.1849644
k141_4250	7.2878146	6.953296
k141_244	1.3288505	4.6313314
k141_16194	7.3880596	5.4614725
k141_28375	9.271767	5.322209
k141_4254	6.091151	3.5927172
k141_12329	3.227852	4.377194
k141_24320	9.171296	5.3253703
k141_16196	6.9550114	5.827938
k141_8379	1.0929812	5.1180425
k141_12330	6.9193883	3.8987734
k141_28381	4.0119033	3.7655282
k141_8382	7.3837504	7.8363104
k141_28384	0.91432685	4.3559356
k141_247	8.538728	7.4144454
k141_8385	2.6239302	4.72716
k141_4256	5.5927234	5.147279
k141_28388	7.0219846	6.8740635
k141_250	-1.498134	4.263789
k141_24332	5.515974	3.88956
k141_8391	2.9961772	3.3736334
k141_24333	6.417136	14.675623
k141_4261	6.1326017	6.2784505
k141_28394	3.5104134	4.8340325
k141_4263	7.370016	2.6238463
k141_28395	5.072865	5.063729
k141_253	4.2781506	4.8340435
k141_24334	8.813306	1.3721558
k141_28396	5.2487664	14.950863
k141_4265	6.160146	4.7251306
k141_24336	4.0363803	4.5058117
k141_4266	4.9246087	17.027681
k141_4269	7.3457727	1.083668
k141_255	4.8974686	4.695596
k141_24343	6.832852	6.9506516
k141_28400	6.839745	5.2633967
k141_4272	1.48063	4.6429014
k141_24345	4.32982	4.1857557
k141_257	5.551092	16.249752
k141_28403	-2.105404	3.9933102
k141_24346	7.12142	5.9966984
k141_4275	6.6820664	6.4955735
