ID	length	GC	coverage
k141_323	2410	54.02	6.12739
k141_324	5286	59.65	5.39274
k141_331	1488	42.47	4.95161
k141_334	1834	68.70	3.72574
k141_338	5749	53.82	7.52218
k141_340	2828	52.30	4.47348
k141_342	1091	26.40	3.96975
k141_345	2130	48.45	4.59484
k141_350	1493	53.05	5.38647
k141_357	1096	37.96	2.71533
k141_366	1188	44.11	3.65152
k141_367	2496	47.80	7.89143
k141_370	5198	55.50	9.90419
k141_371	1036	56.85	4.43726
k141_375	1815	52.12	4.76915
k141_380	1621	46.95	4.31524
k141_384	3223	38.50	5.64908
k141_385	17847	56.93	8.53947
k141_392	1265	51.94	3.77549
k141_399	1411	43.73	2.62438
k141_400	4694	63.12	6.62015
k141_401	1163	53.22	3.97592
k141_403	1384	51.88	2.76373
k141_404	1329	44.92	4.80737
k141_409	7976	54.35	8.23182
k141_410	9480	58.95	17.954
k141_413	2286	50.04	4.88626
k141_416	1368	56.51	3.15643
k141_417	1650	47.70	8.60121
k141_419	1045	46.12	3.39617
k141_424	4447	57.34	6.86755
k141_429	1097	32.54	3.65542
k141_431	2392	56.15	5.77299
k141_434	1031	45.97	5.29874
k141_435	3191	59.92	5.61078
k141_441	2377	58.52	5.95204
k141_451	4342	42.91	8.5
k141_452	1424	57.44	4.60393
k141_453	1502	55.33	4.45939
k141_455	3452	50.49	4.87572
k141_458	1252	40.50	2.95607
k141_460	1261	44.96	4.58525
k141_463	1119	60.23	4.2681
k141_464	2066	41.87	8.34511
k141_467	5140	58.25	5.58093
k141_468	1680	60.54	5.55714
k141_470	4475	65.05	6.2
k141_471	4601	58.99	12.2039
k141_474	1665	49.01	4.56637
k141_481	1558	60.21	4.56483
k141_485	1742	48.74	4.93685
k141_486	2332	56.30	34.708
k141_487	2450	52.08	3.95143
k141_490	1014	51.87	5.88462
k141_491	1346	29.57	3.6523
k141_499	1476	35.03	5.96274
k141_504	4311	47.20	8.24843
k141_506	2116	64.93	6.0983
k141_508	1675	50.75	4.6209
k141_511	2484	59.54	8.20974
k141_513	2853	54.85	5.09639
k141_516	1882	55.21	3.49097
k141_519	2360	55.34	5.0928
k141_520	1165	59.91	4.19056
k141_521	1365	47.40	3.0337
k141_523	3448	52.81	10.3167
k141_524	2150	52.19	5.75488
k141_525	1287	44.52	5.53613
k141_526	1245	59.52	6.10602
k141_536	1337	48.02	5.56918
k141_537	1149	53.70	2.72933
k141_539	9857	55.67	8.29542
k141_542	1303	55.41	3.78281
k141_543	1506	49.67	3.28088
k141_546	1419	44.19	4.51445
k141_553	3808	57.59	6.59926
k141_554	4718	46.02	6.64582
k141_556	1497	48.83	5.57582
k141_557	15354	52.44	8.52221
k141_558	1123	42.65	7.04274
k141_559	8203	52.20	7.92576
k141_561	4727	57.37	10.6602
k141_566	1876	56.98	16.9622
k141_569	1501	58.83	5.6489
k141_572	7063	58.80	5.86139
k141_574	1319	61.87	7.6467
k141_575	1011	58.06	4.25816
k141_577	4548	43.60	19.8107
k141_580	2480	53.31	8.15242
k141_581	4517	43.75	6.23578
k141_585	60750	55.52	44.8157
k141_590	1874	52.40	5.2412
k141_592	5708	57.71	5.9322
k141_596	1600	63.81	6.67188
k141_598	1843	60.44	6.39664
k141_601	13123	53.02	7.03132
k141_602	1300	39.23	5.61769
k141_603	1144	56.29	2.85315
k141_604	2517	47.04	3.55503
k141_605	1054	59.30	3.80835
k141_608	1466	57.44	5.9925
k141_609	1131	37.93	7.25553
k141_614	1313	53.77	4.76466
k141_622	1000	36.30	5.067
k141_628	1476	45.73	3.72764
k141_630	2323	40.42	4.61558
k141_631	2395	65.51	7.73319
k141_636	1215	23.29	2.44609
k141_638	1127	61.05	3.71074
k141_645	1198	23.79	3.73205
k141_650	4074	64.33	6.21993
k141_652	1820	41.81	7.62418
k141_655	1860	53.76	8.63817
k141_659	2515	59.68	5.71332
k141_660	3335	54.12	5.28366
k141_661	1812	59.71	5.96854
k141_663	5224	55.23	6.29269
k141_664	1027	63.29	6.53067
k141_665	1389	42.98	5.04752
k141_666	1742	53.33	39.7991
k141_667	1596	43.23	4.67669
k141_668	1744	66.74	8.67202
k141_669	1253	29.13	12.4828
k141_670	1378	54.64	3.9971
k141_671	2011	37.25	4.96072
k141_672	2158	39.76	7.44069
k141_675	1112	68.26	2.52968
k141_676	2672	39.18	5.84207
k141_679	2772	60.68	7.30628
k141_682	1157	26.19	4.24719
k141_684	1031	39.28	3.45975
k141_689	1692	57.03	5.55024
k141_698	1476	50.54	7.55691
k141_704	5757	54.91	7.18551
k141_705	1282	47.11	4.18175
k141_706	2235	55.44	5.69172
k141_715	1128	49.29	4.24113
k141_716	2005	36.16	6.08778
k141_722	1077	46.05	10.4633
k141_723	2164	46.95	3.94177
k141_727	3814	57.50	5.55454
k141_728	2940	42.89	5.23129
k141_731	1002	52.10	3.83134
k141_733	7240	38.30	5.70704
k141_738	1815	54.33	42.4518
k141_744	30581	36.17	14.1188
k141_745	1384	64.52	6.48121
k141_746	1191	67.84	3.37448
k141_747	2298	59.23	15.5936
k141_751	1627	53.04	5.98402
k141_752	2149	43.79	3.75849
k141_755	2192	51.64	7.52053
k141_757	5255	53.30	8.67536
k141_764	1353	46.71	5.61715
k141_766	3302	62.36	6.69715
k141_768	1701	40.21	7.51734
k141_769	1685	53.59	5.69733
k141_782	2925	55.42	7.12479
k141_786	2281	57.12	7.76677
k141_787	1200	61.67	3.84
k141_791	1379	57.29	4.29007
k141_796	2047	48.12	5.53835
k141_799	2536	54.18	5.32177
k141_800	1230	42.11	4.3374
k141_803	7303	46.31	11.9754
k141_810	51290	55.34	43.4129
k141_814	2997	51.58	12.669
k141_815	2146	42.12	7.71715
k141_819	1594	52.07	4.45922
k141_823	1452	48.14	4.30441
k141_824	14933	29.73	10.96
k141_825	2747	53.04	5.62832
k141_826	3313	50.17	5.72472
k141_828	1973	44.65	3.77243
k141_830	3642	61.34	9.01977
k141_833	1223	37.29	4.39738
k141_837	7108	65.04	7.4554
k141_839	1048	39.69	3.56489
k141_841	1131	51.90	4.75862
k141_843	1300	50.31	5.70923
k141_845	21653	33.09	12.9733
k141_846	1399	64.76	4.43817
k141_847	5200	52.96	8.31308
k141_848	1404	40.67	6.78063
k141_849	1753	45.46	5.52824
k141_853	3367	53.91	13.2331
k141_857	1218	45.73	5.86289
k141_858	2801	46.13	11.4438
k141_860	2543	42.23	9.2092
k141_861	1028	51.17	13.8784
k141_863	1079	56.26	6.3355
k141_864	2003	53.77	4.21418
k141_865	3688	52.79	11.7286
k141_867	3043	37.59	5.53336
k141_869	3353	51.33	5.63644
k141_873	1741	44.34	5.35152
k141_874	1238	58.97	5.52908
k141_876	2228	41.02	7.46813
k141_878	1867	55.49	5.27638
k141_879	15241	54.61	8.06063
k141_880	4707	56.32	5.84024
k141_881	1278	52.27	4.08294
k141_882	1054	39.75	4.68406
k141_888	1830	51.64	39.1923
k141_891	4063	55.65	5.61949
k141_896	1000	48.70	8.087
k141_898	3087	45.16	5.44444
k141_902	1070	23.36	3.49533
k141_908	2611	43.74	5.12907
k141_909	1505	52.36	7.12558
k141_911	1893	58.53	5.87533
k141_912	1285	46.85	5.81479
k141_915	2836	52.61	4.73942
k141_916	1400	47.79	4.87
k141_918	2713	49.65	4.99189
k141_923	1651	57.60	4.15566
k141_930	3944	65.09	6.8641
k141_932	1315	42.74	5.99087
k141_933	2957	46.67	4.02097
k141_939	2118	52.03	4.23088
k141_942	1326	51.13	3.53092
k141_946	6360	53.40	7.33947
k141_947	1450	48.14	5.34138
k141_950	1237	61.28	5.35327
k141_953	1508	48.74	5.52586
k141_959	7674	66.86	6.97824
k141_962	1718	66.30	7.98603
k141_963	2050	44.34	4.43902
k141_965	2154	51.16	4.86815
k141_966	2482	43.96	4.62772
k141_967	3634	48.21	4.43423
k141_968	2079	51.23	6.9139
k141_971	1852	35.10	4.35799
k141_973	1000	40.70	6.107
k141_974	1122	22.10	3.60517
k141_975	7964	38.32	7.00515
k141_979	1701	58.14	6.33627
k141_987	1466	59.75	4.4809
k141_991	1003	60.12	5.25324
k141_994	6651	39.05	6.43542
k141_995	1897	52.35	5.02478
k141_997	1163	50.13	5.22184
k141_1005	1174	49.83	14.6704
k141_1008	1108	41.61	3.75632
k141_1009	1139	45.13	3.67076
k141_1011	1570	26.24	3.66688
k141_1015	2431	59.19	6.57507
k141_1026	1410	48.65	4.41206
k141_1028	1006	35.49	4.14314
k141_1031	1001	49.15	4.02498
k141_1042	1469	49.69	9.53302
k141_1044	1202	55.49	4.8203
k141_1045	1443	50.94	7.8413
k141_1050	1292	65.79	2.87848
k141_1052	1529	34.21	6.04251
k141_1054	1059	44.76	5.0746
k141_1055	1365	45.35	4.11941
k141_1059	1166	47.86	3.33276
k141_1060	1462	27.56	4.29343
k141_1064	8958	54.26	14.2775
k141_1067	5329	39.99	5.17245
k141_1069	1106	48.64	6.30561
k141_1074	3054	33.96	9.42927
k141_1076	1311	44.93	2.62166
k141_1077	1520	43.09	3.72368
k141_1078	1202	53.33	3.86023
k141_1079	1631	50.15	6.19865
k141_1080	1415	25.44	4.20565
k141_1083	1057	46.93	3.81268
k141_1085	2169	48.41	4.78423
k141_1088	1779	62.34	4.3783
k141_1089	1523	46.16	4.90545
k141_1090	2006	51.69	6.51795
k141_1093	3112	41.36	4.92802
k141_1095	1580	55.57	3.87342
k141_1099	2905	54.42	11.3807
k141_1100	2531	47.49	8.45911
k141_1104	1066	59.85	5.97936
k141_1106	1003	41.77	2.49551
k141_1107	37424	55.42	20.1874
k141_1108	7075	44.25	5.25484
k141_1111	2592	49.11	5.63117
k141_1112	1096	58.12	5.77464
k141_1117	1637	52.96	5.06048
k141_1119	2811	50.69	6.53006
k141_1120	1776	40.26	5.79054
k141_1123	4010	48.83	38.3
k141_1131	1474	44.64	5.67096
k141_1138	1120	37.68	6.90893
k141_1141	1796	46.77	7.82127
k141_1142	3301	57.04	5.3505
k141_1143	3503	60.46	5.90465
k141_1144	1672	58.37	5.90012
k141_1146	1244	63.75	3.24116
k141_1147	2691	53.44	5.57525
k141_1148	1600	53.50	3.82563
k141_1150	1036	21.53	3.0251
k141_1151	1102	38.20	6.62523
k141_1153	1376	43.46	4.2282
k141_1154	1145	52.49	5.0524
k141_1155	1177	62.96	3.53696
k141_1156	1045	40.67	3.85742
k141_1159	1876	33.21	14.0389
k141_1161	2189	48.20	4.70763
k141_1164	2386	47.23	34.4904
k141_1166	1006	50.20	4.29622
k141_1174	6356	53.52	7.91142
k141_1176	3949	56.39	5.27729
k141_1179	1086	38.67	4.52118
k141_1180	1023	42.23	3.35582
k141_1183	1302	52.69	3.33026
k141_1184	5939	58.14	6.52063
k141_1186	1685	65.34	7.19228
k141_1193	1124	26.69	2.92527
k141_1194	1989	51.53	6.2182
k141_1201	2811	34.97	22.0274
k141_1202	1280	46.72	5.84219
k141_1205	1600	21.19	3.51562
k141_1208	1617	36.61	6.36673
k141_1209	1121	46.03	3.06334
k141_1210	1497	46.63	5.34669
k141_1211	4023	54.09	4.80214
k141_1215	1997	54.68	9.31147
k141_1219	1429	42.27	5.51295
k141_1222	1827	40.50	4.72906
k141_1225	1303	41.98	4.11205
k141_1229	2136	41.99	6.14888
k141_1231	1232	50.89	6.37256
k141_1232	1128	53.10	3.97074
k141_1234	1211	41.12	3.43765
k141_1235	1363	45.05	3.16728
k141_1236	1563	44.47	4.95521
k141_1240	6914	54.74	6.02488
k141_1241	1430	65.87	7.21399
k141_1242	1343	51.53	5.11839
k141_1243	3200	49.56	5.575
k141_1245	1004	20.42	2.82271
k141_1248	4032	65.05	8.06647
k141_1250	1485	42.96	5.09226
k141_1254	1579	39.46	3.30399
k141_1255	2664	62.84	5.68694
k141_1259	1870	54.01	4.06096
k141_1263	1024	59.08	4.01758
k141_1265	8740	60.92	16.3269
k141_1266	1033	40.85	4.5789
k141_1267	1208	55.46	4.31457
k141_1268	5951	40.75	6.69383
k141_1272	8899	53.35	28.0752
k141_1273	1316	46.50	4.07143
k141_1275	2102	55.90	5.52759
k141_1276	1957	41.59	5.3163
k141_1278	1159	49.18	3.19845
k141_1279	2229	44.82	6.71826
k141_1280	5138	57.28	6.52238
k141_1281	1226	48.04	6.68842
k141_1283	1725	39.25	4.85101
k141_1286	2436	44.91	4.5156
k141_1288	1171	49.87	1.89923
k141_1290	2294	46.95	4.16085
k141_1291	1911	59.55	3.98482
k141_1292	1698	64.19	5.00177
k141_1293	2195	59.18	5.62916
k141_1294	4694	58.20	7.23242
k141_1297	1242	38.00	2.76167
k141_1299	1531	62.97	6.48988
k141_1303	1499	42.36	16.3175
k141_1305	2048	60.06	4.58203
k141_1315	1759	55.43	5.50313
k141_1316	1435	52.68	4.02439
k141_1323	2082	51.63	5.73535
k141_1328	1168	59.59	4.09503
k141_1329	1180	52.71	4.51017
k141_1330	1269	46.73	4.57998
k141_1332	2588	59.81	7.52975
k141_1338	3903	54.16	4.92698
k141_1344	1066	54.97	15.864
k141_1347	5918	50.86	9.01774
k141_1348	2010	45.82	4.45423
k141_1353	2007	53.36	3.12905
k141_1355	1653	53.06	5.04537
k141_1356	1011	34.12	3.53511
k141_1361	1533	47.62	3.87215
k141_1369	1763	54.57	4.72944
k141_1372	1987	52.79	5.154
k141_1373	3725	35.44	6.56376
k141_1380	1646	45.69	4.43864
k141_1383	1157	51.43	5.65946
k141_1386	1545	54.43	6.4712
k141_1388	1397	47.10	4.49392
k141_1390	3945	63.52	6.3275
k141_1394	2576	52.99	7.17081
k141_1401	1916	46.14	5.42119
k141_1402	1002	46.71	2.97804
k141_1403	4952	57.96	6.2708
k141_1406	1551	58.16	6.4913
k141_1408	3116	64.28	4.38896
k141_1410	2474	60.19	4.58448
k141_1411	2175	39.26	5.16046
k141_1413	1514	60.96	3.44254
k141_1417	2539	56.56	5.14651
k141_1418	2832	47.78	4.57168
k141_1420	3896	56.67	5.45252
k141_1428	1049	34.32	4.40038
k141_1430	1208	54.80	3.21523
k141_1433	2907	46.75	4.21225
k141_1434	1376	50.73	3.87863
k141_1437	1569	54.24	5.20841
k141_1440	3648	53.89	4.87637
k141_1446	1176	42.77	4.56293
k141_1449	12788	59.29	7.43291
k141_1455	1070	50.09	3.33271
k141_1461	2608	44.13	4.38727
k141_1463	1294	58.42	4.82071
k141_1464	2038	50.20	5.47154
k141_1465	2436	41.42	6.46429
k141_1466	1268	51.34	4.09227
k141_1468	3088	35.30	5.05117
k141_1472	3407	59.91	6.47549
k141_1475	1619	46.45	5.5244
k141_1480	3393	38.84	7.35691
k141_1486	4043	57.16	4.977
k141_1490	1031	44.52	3.30068
k141_1495	1541	56.78	12.7463
k141_1498	1801	26.87	3.71904
k141_1499	3123	61.80	6.17259
k141_1503	1083	60.76	3.28624
k141_1509	1750	53.71	5.26743
k141_1510	3802	42.48	4.97422
k141_1511	1669	47.75	4.01438
k141_1512	4290	42.26	3.60117
k141_1514	1292	52.32	4.74071
k141_1515	1789	64.00	4.81666
k141_1520	1368	48.46	3.91228
k141_1522	2379	61.03	5.24758
k141_1534	1058	58.41	3.65028
k141_1536	1440	30.90	3.7375
k141_1540	1625	51.20	4.13785
k141_1541	1100	48.36	4.21636
k141_1544	1031	68.87	3.18429
k141_1545	1228	51.06	6.16775
k141_1554	2205	59.27	15.3823
k141_1555	1256	41.88	2.48965
k141_1559	1911	62.59	4.94035
k141_1561	3247	47.15	7.96889
k141_1563	1021	27.91	3.48972
k141_1567	1686	64.53	3.43298
k141_1568	2288	64.07	5.58829
k141_1569	1307	41.39	5.23489
k141_1575	5858	47.61	8.44076
k141_1576	1697	64.53	4.13141
k141_1578	1154	56.67	4.52773
k141_1580	2594	53.05	4.1249
k141_1583	1314	47.72	4.72907
k141_1585	3571	58.98	14.5276
k141_1589	1126	53.37	7.29574
k141_1596	2339	58.14	5.08807
k141_1600	3009	40.31	5.54304
k141_1603	1244	53.54	4.79662
k141_1604	1014	45.17	3.64103
k141_1608	2161	38.27	6.99445
k141_1609	1271	47.92	3.63257
k141_1614	1909	59.30	4.52226
k141_1620	2165	47.48	3.86328
k141_1622	4920	57.40	6.01687
k141_1624	2117	27.82	3.73406
k141_1627	2131	24.73	4.15016
k141_1630	2140	34.11	4.28224
k141_1636	1378	54.86	3.46154
k141_1642	1873	62.20	7.23225
k141_1644	3870	57.11	6.93928
k141_1645	1883	65.48	5.61763
k141_1647	1627	55.99	11.8119
k141_1648	1110	62.16	2.95135
k141_1649	2392	48.45	6.61622
k141_1650	1526	52.36	6.02425
k141_1651	1266	44.31	6.48104
k141_1653	1219	49.96	4.89089
k141_1654	1461	42.09	4.08419
k141_1665	4778	56.74	6.07262
k141_1666	1288	38.66	4.625
k141_1669	1398	55.01	4.36195
k141_1671	1633	64.91	19.2082
k141_1673	1030	39.03	3.77282
k141_1678	1042	50.38	6.69866
k141_1683	2494	60.02	5.66359
k141_1684	2141	59.79	6.26623
k141_1696	5224	54.15	8.16405
k141_1699	3463	36.18	4.69131
k141_1705	3379	49.72	6.55786
k141_1706	1856	67.46	4.65625
k141_1710	1688	52.25	4.94609
k141_1712	1187	55.43	5.9166
k141_1713	3660	45.25	6.29781
k141_1714	1156	55.02	3.49394
k141_1732	3240	47.25	7.82593
k141_1733	1568	60.14	7.79974
k141_1737	11950	51.77	15.9736
k141_1738	1053	44.35	3.67236
k141_1741	1344	41.67	3.73065
k141_1742	1145	55.90	5.59563
k141_1754	1495	50.23	3.68562
k141_1756	2101	62.49	2.97525
k141_1762	1117	61.59	2.77529
k141_1767	4798	37.22	5.75469
k141_1768	1893	55.84	5.91178
k141_1769	2997	58.39	56.2783
k141_1775	1255	34.66	3.80398
k141_1778	4125	62.33	6.232
k141_1779	1234	53.24	3.73015
k141_1787	1864	30.58	8.54453
k141_1790	2441	54.61	5.27366
k141_1793	1671	52.66	4.81269
k141_1794	7703	47.15	7.49331
k141_1795	1134	62.08	6.79012
k141_1799	1175	50.81	7.74383
k141_1801	1197	56.22	4.8538
k141_1803	1128	53.55	3.69326
k141_1811	1762	42.62	4.57832
k141_1817	3614	40.73	7.79192
k141_1819	1238	59.94	3.25767
k141_1822	3242	54.90	5.32418
k141_1824	1736	46.26	5.23502
k141_1825	3513	38.71	4.92314
k141_1826	1542	46.76	4.99611
k141_1827	1820	50.60	3.93736
k141_1828	1122	62.12	8.20766
k141_1829	1294	36.71	3.68238
k141_1830	2100	55.38	5.79429
k141_1833	3348	39.43	5.01912
k141_1834	9540	57.94	5.96415
k141_1835	3667	65.12	8.33297
k141_1837	6643	43.81	41.1861
k141_1840	1142	26.01	3.78897
k141_1842	2153	50.67	5.3581
k141_1851	5798	38.81	4.98637
k141_1852	2373	43.87	3.82259
k141_1861	2206	52.45	4.36854
k141_1864	1399	38.38	4.97927
k141_1866	11130	60.82	7.75571
k141_1867	2507	57.12	6.54328
k141_1868	2530	36.68	5.29209
k141_1869	5120	42.36	8.16875
k141_1873	4793	38.14	6.7246
k141_1874	1887	21.57	4.90196
k141_1876	2207	51.61	5.73947
k141_1878	12983	57.41	11.3666
k141_1881	2202	33.29	5.05041
k141_1885	2297	35.26	6.49325
k141_1886	2550	56.08	8.59412
k141_1889	1315	60.30	3.85247
k141_1891	2630	51.37	4.31445
k141_1892	1090	54.59	6.27248
k141_1893	1510	47.22	5.01192
k141_1896	6861	57.83	9.7222
k141_1899	3749	49.61	5.01254
k141_1900	8765	61.96	7.22852
k141_1906	3838	63.08	6.97447
k141_1910	5529	35.16	6.01791
k141_1913	1651	59.90	4.46033
k141_1915	1253	59.54	4.04868
k141_1917	1630	63.25	4.11227
k141_1921	1427	51.58	4.70498
k141_1924	2792	57.52	15.7862
k141_1928	1153	34.52	14.2125
k141_1930	1086	70.90	3.19245
k141_1933	3642	45.99	5.88276
k141_1934	1188	65.15	5.14141
k141_1942	1448	46.75	3.91713
k141_1944	1863	47.18	3.02469
k141_1951	1253	55.95	4.59936
k141_1952	1001	46.75	4.3956
k141_1959	1248	21.55	3.11458
k141_1960	6444	36.67	6.02545
k141_1962	1526	56.03	3.91612
k141_1963	1570	43.18	4.63248
k141_1967	1070	44.30	4.46636
k141_1970	1144	53.85	4.86538
k141_1972	1134	48.06	5.26896
k141_1974	1681	53.84	4.79298
k141_1976	1340	56.42	4.41493
k141_1985	1016	45.18	3.22736
k141_1987	6718	63.96	5.90444
k141_1992	1225	65.06	4.50612
k141_1993	1021	50.15	4.82664
k141_1994	1180	54.75	4.29661
k141_1995	1060	50.47	4.90943
k141_1997	1062	64.50	4.04426
k141_2003	1558	46.08	4.88254
k141_2004	2517	56.34	4.20302
k141_2007	1622	50.92	4.5
k141_2009	1256	67.83	5.04857
k141_2010	3010	44.22	4.56379
k141_2012	1146	29.23	3.73735
k141_2014	4854	54.33	8.31191
k141_2016	1666	50.84	5.28331
k141_2032	25440	52.79	14.323
k141_2033	3005	52.75	4.05491
k141_2036	1071	44.63	3.34921
k141_2037	1206	46.52	3.4602
k141_2039	1139	49.60	5.18788
k141_2040	1096	43.25	3
k141_2041	2257	41.60	5.99114
k141_2046	1416	48.52	5.19209
k141_2049	1638	42.19	5.90537
k141_2052	1292	40.63	4.25929
k141_2059	2694	39.64	4.28508
k141_2063	1278	44.44	3.83412
k141_2064	9289	61.22	7.22467
k141_2065	1159	51.68	3.84038
k141_2067	5923	59.38	14.7187
k141_2069	1467	43.35	5.25767
k141_2073	1030	60.10	5.91845
k141_2075	1344	58.41	7.77158
k141_2076	1975	61.67	6.80456
k141_2092	1128	53.81	4.86259
k141_2097	1370	54.23	4.2219
k141_2104	1912	49.90	5.1569
k141_2106	1648	46.24	7.22451
k141_2109	1467	48.53	3.80164
k141_2110	4257	38.08	5.39934
k141_2111	1364	43.91	4.2412
k141_2116	1290	44.26	3.22558
k141_2119	1558	52.57	4.37869
k141_2120	1319	59.14	4.18271
k141_2121	5262	53.08	12.5017
k141_2123	2273	55.43	3.28641
k141_2130	1233	32.28	15.9749
k141_2131	3264	43.11	8.30729
k141_2133	2933	59.67	4.40232
k141_2134	1128	48.23	2.9078
k141_2137	7760	52.82	11.7659
k141_2139	6229	55.18	9.6961
k141_2141	5230	61.43	7.21969
k141_2144	1545	63.82	8.87443
k141_2147	1597	51.85	5.51847
k141_2150	1385	57.04	6.29892
k141_2151	8198	70.29	8.25055
k141_2154	4179	58.87	6.3855
k141_2158	1989	57.67	6.42182
k141_2159	1175	28.94	2.92
k141_2160	1170	33.68	3.29658
k141_2161	1228	44.54	4.35423
k141_2163	1083	43.12	4.54755
k141_2164	1461	51.95	4.95483
k141_2167	1107	51.85	5.26378
k141_2170	2458	44.22	5.48942
k141_2173	1178	49.41	4.80985
k141_2175	8442	40.50	6.07403
k141_2184	1404	34.33	5.18376
k141_2187	2212	53.30	6.64014
k141_2189	2592	54.51	3.6767
k141_2201	21566	31.02	12.2238
k141_2204	1473	44.47	4.45418
k141_2211	1783	44.08	5.26697
k141_2212	13436	62.12	6.97864
k141_2214	1320	53.64	6.99621
k141_2219	1142	24.78	4.57706
k141_2221	1031	45.20	3.90495
k141_2226	1631	55.49	6.09074
k141_2233	1652	39.04	6.0345
k141_2235	1820	50.71	4.98352
k141_2236	2202	35.47	4.98183
k141_2238	1589	48.02	2.99874
k141_2240	1377	49.82	3.09731
k141_2244	1616	44.37	4.71411
k141_2249	1222	60.64	4.85843
k141_2252	1627	60.23	4.77443
k141_2253	21270	55.82	42.7188
k141_2256	1572	47.07	3.32379
k141_2257	1110	56.67	2.65676
k141_2258	1787	37.55	4.89871
k141_2259	1032	46.41	5.2781
k141_2260	3542	54.57	4.8323
k141_2266	2153	47.93	4.91314
k141_2268	8782	52.32	7.5
k141_2269	1423	60.72	4.87351
k141_2272	1111	31.23	4.56166
k141_2275	1541	52.43	4.55354
k141_2279	1059	48.25	7.18036
k141_2280	1668	48.98	6.40827
k141_2281	1079	48.66	3.72289
k141_2289	1758	44.08	4.56769
k141_2290	4690	61.09	5.66844
k141_2291	5335	59.53	7.76457
k141_2293	1389	23.47	4.29374
k141_2296	1106	49.19	4.17089
k141_2298	3412	47.86	7.19373
k141_2300	1718	59.08	6.16589
k141_2301	1368	29.46	3.54898
k141_2305	2119	57.67	5.41293
k141_2310	1073	62.72	4.16589
k141_2314	1116	62.19	5.33602
