id	x	y	length	gc	coverage	orfs	ssus	mapped	taxon|d	phylum	class	order	family	genus	virulence	resistance	plasmid	virus
451	-27.265049	6.708741	42972	42.78	20.024	35	0	9.17	Firmicutes							RF0142:2		
458	-30.888850	1.414269	28056	42.17	58.729	28	0	99.96	Blautia wexlerae	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia				
494	-6.335441	24.123552	26005	35.27	31.870	34	0	2.45	Ruminococcus									
500	16.011168	20.258380	25922	32.62	86.140	32	0	0.21	Firmicutes									YP_008873459
521	-28.813876	12.072359	25216	39.61	138.501	22	0	86.91	Blautia wexlerae	Firmicutes	Clostridia	Clostridiales						
532	-23.608151	12.376162	24870	38.44	64.356	24	0	99.98	Blautia wexlerae	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia				
574	-6.611158	-34.978393	23396	51.33	58.988	26	0	99.98	Escherichia coli	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia			146204,126811	NP_312885,NP_312886
603	14.962594	-29.260820	22814	57.59	18.597	20	0	97.40	Rothia mucilaginosa	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	VFG041304			
633	-25.190112	14.977074	21902	40.77	148.436	23	0	96.59	Clostridiales	Firmicutes	Clostridia	Clostridiales				RF0142		
663	3.264617	-28.209598	21156	56.34	25.191	23	0	13.86	Faecalibacterium prausnitzii									NP_417179
671	-36.072391	-5.808523	20957	43.46	18.118	21	0	1.86	Firmicutes									
702	-5.876845	-35.119989	19986	51.92	53.499	16	0	99.95	Escherichia coli	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia				NP_312144
719	25.614434	-27.287685	19810	62.83	187.918	20	0	96.10	Collinsella	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella				YP_007676312
731	-8.260982	-34.459540	19667	52.74	25.768	24	0	100.00	Escherichia coli	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia			115878	NP_807091,NP_807092,NP_807093,NP_807094,NP_807095,NP_807096,NP_807100,NP_807101,NP_807102,NP_807105,YP_001718718,YP_001718720,YP_009211932
741	32.575151	-12.416856	19479	67.73	30.852	20	0	63.48	Actinomyces									
757	-27.986746	6.891427	22178	43.17	17.695	22	0	1.09	Clostridiales									
790	-31.204053	2.397278	18538	40.99	169.466	14	0	74.37	Clostridiales									
816	-32.708074	-11.971531	18187	43.19	42.239	17	0	92.40	Lachnospiraceae	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae			RF0142		
839	-7.725716	-34.361232	17743	51.67	36.319	18	0	100.00	Escherichia coli	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia				YP_009015586
848	4.692194	-33.846001	20255	61.69	23.338	16	0	13.08	Subdoligranulum variabile								110567	
909	4.920216	-29.444648	16510	58.68	29.248	16	0	24.43	Subdoligranulum variabile							RF0144		
982	-5.575087	21.521910	15583	35.38	46.946	14	0	25.73	Clostridiales									YP_238737
991	33.952703	-25.180216	15467	63.65	16.551	13	0	48.62	Eggerthellaceae						VFG000079			
1006	-28.610993	11.992553	15273	40.07	112.455	19	0	5.96	Clostridiales									
1020	-19.278259	10.506131	15156	40.86	18.764	26	0	0										
1029	-6.783309	20.022839	15058	36.67	28.996	17	0	13.52	Ruminococcus									
1069	-5.306773	34.015920	14609	31.97	25.545	23	0	0.04	Clostridiales bacterium VE202-18									NP_695057,NP_695059,NP_795513,NP_795527,NP_862888,NP_996708
1085	13.493361	41.170853	14489	29.64	24.998	14	0	30.24	Clostridiales									
1094	-31.666361	1.391478	14389	42.05	371.277	10	0	100.00	Clostridiales	Firmicutes	Clostridia	Clostridiales						
1100	7.232588	-7.053454	17410	41.55	16.824	14	0	98.53	Prevotella sp. CAG:891	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella				
1143	-36.202857	-5.930919	18509	43.96	15.242	18	0	1.85	Lachnospiraceae						VFG001967	RF0148:2		YP_238737
1153	-8.325790	-35.199758	13814	52.07	42.792	12	0	100.00	Escherichia coli	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia		RF0017	154067,154068	
1155	-17.876856	26.291700	15596	36.25	14.849	14	0	99.20	Firmicutes bacterium CAG:41	Firmicutes								
1178	-36.565438	-4.490731	13520	42.49	13.339	11	0	1.61	Lachnospiraceae								128524	
1204	-6.331188	22.323908	13301	35.88	97.940	19	0	45.92	Clostridiales								123884	
1248	-8.078451	-36.038651	12945	53.09	42.404	14	0	99.95	Escherichia coli	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia		RF0038		
1275	7.074894	-6.200771	12681	39.70	24.048	10	0	98.72	Prevotella sp. CAG:891	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella			22676	
1297	-24.212498	31.587668	16921	39.39	13.189	16	0	99.42	Firmicutes bacterium CAG:41	Firmicutes								
1308	4.156250	-32.391111	12422	61.06	26.786	10	0	29.40	Subdoligranulum variabile									
1338	-26.732540	16.501209	12137	40.55	25.232	3	0	94.41	[Eubacterium] hallii	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium				
1343	-8.430666	-36.393773	12113	54.42	41.393	13	0	99.89	Escherichia coli	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia			25878	
1418	-2.712620	-30.079303	11545	44.00	21.164	13	0	100.00	Escherichia coli	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia				
1421	-4.970108	36.243384	18663	29.30	15.792	21	0	99.71	bacterium LF-3								132147	
1435	13.828515	41.420865	11422	26.98	15.593	11	0	32.14	Clostridiales						VFG006717			
1445	-36.587920	-6.158213	11378	44.17	11.458	10	0	14.63	Clostridiales									
1458	-11.725519	23.093974	11224	39.52	83.885	8	0	100.00	Eubacterium	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium				
1533	-8.504781	-36.653719	10774	54.65	46.804	12	0	99.94	Escherichia coli	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia				
1536	-5.001178	36.647433	14395	28.03	14.054	17	0	100.00	bacterium LF-3									
1538	-6.850200	23.672848	10755	34.84	275.589	11	0	99.53	Clostridiales	Firmicutes	Clostridia	Clostridiales						
1539	-7.153645	-34.426273	10754	51.71	50.797	6	0	99.95	Escherichia coli	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia				
1544	-18.660595	26.781985	10724	33.70	13.648	9	0	32.66	Firmicutes bacterium CAG:41									
1563	6.893348	-4.816698	10647	39.41	15.331	7	0	29.23	Prevotella sp. P5-125									
1566	-36.469205	-3.127589	10613	42.72	15.203	10	0	0.91	Firmicutes									
1576	-29.485935	-2.278019	10554	41.60	12.160	11	0	99.78	Clostridiales	Firmicutes	Clostridia	Clostridiales						
1587	-25.681167	-3.409359	10487	43.20	20.385	9	0	99.93	Clostridiales	Firmicutes	Clostridia	Clostridiales						
1622	4.844955	-31.139629	10257	59.38	35.811	7	0	20.57	Ruminococcaceae									
1632	-25.105983	5.744715	10182	40.92	12.901	9	0	21.26	Firmicutes									
1635	-31.717080	0.706822	10180	42.70	373.487	7	0	99.97	Clostridiales	Firmicutes	Clostridia	Clostridiales						
1665	-5.233609	-32.489575	10059	48.87	37.579	10	0	100.00	Escherichia coli	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia				
1722	2.466404	-29.599006	9813	59.52	31.783	9	0	97.72	Clostridiales	Firmicutes	Clostridia	Clostridiales						YP_358798
1725	13.107949	41.149250	9807	28.14	14.441	9	0	22.75	Clostridiales									
1766	-23.434016	7.584367	11095	40.79	13.022	10	0	100.00	Dorea	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea				
1775	-4.500744	36.341779	9547	28.01	17.226	8	0	99.82	bacterium LF-3									YP_293777
1784	-26.347387	7.017279	9504	40.70	16.184	7	0	42.23	Firmicutes									
1786	-26.889169	1.802069	9497	41.77	15.593	8	0	100.00	Clostridiales	Firmicutes	Clostridia	Clostridiales						
1795	-6.178935	-34.396476	9486	51.73	48.665	8	0	99.94	Escherichia coli	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia				
1805	12.088349	40.257132	9439	29.28	12.687	5	0	5.48	Clostridiales									
1825	7.044101	-5.562906	9375	37.83	22.013	6	0	99.93	Prevotella sp. CAG:891	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella				
1833	11.187839	41.771353	9315	28.97	12.458	8	0	1.00	Terrisporobacter othiniensis									
1894	-6.529181	22.036047	14593	36.50	22.274	20	0	45.33	Clostridiales									
1931	-23.507353	29.411568	8926	38.60	15.960	9	0	78.32	Firmicutes bacterium CAG:41	Firmicutes								
1941	16.788320	-20.678834	8902	55.01	33.483	9	0	25.24	Actinomyces									
1956	-27.692732	-4.559224	8825	44.19	295.225	6	0	100.00	Clostridiales	Firmicutes	Clostridia	Clostridiales					19088	
1969	2.885450	-16.299584	8767	50.19	44.529	11	0	94.05	Clostridiales	Firmicutes	Clostridia	Clostridiales						
1982	1.062200	-16.340230	8693	46.92	65.708	13	0	84.30	Clostridiales	Firmicutes	Clostridia	Clostridiales						
2035	2.238232	-17.285165	8474	49.88	27.024	12	0	99.63	Ruminococcaceae	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae					
2081	19.181683	-28.344521	8308	57.17	18.014	6	0	99.81	Rothia mucilaginosa	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Rothia				
2106	3.754236	-32.177905	8196	61.47	31.566	7	0	6.16	Subdoligranulum variabile									
2117	-25.868330	-1.864674	8127	41.15	156.198	9	0	80.31	Blautia sp. KLE 1732	Firmicutes	Clostridia	Clostridiales						
2136	-36.578315	-5.835561	8783	44.04	14.342	9	0	1.38	Clostridiales									
2176	-22.429025	3.974732	13587	41.88	15.842	15	0	100.00	Dorea formicigenerans	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	VFG013286	RF0142		
2181	11.998958	41.206708	7912	28.20	14.977	6	0	0.61	Terrisporobacter									
2185	-7.137550	-36.078383	7904	52.71	50.146	7	0	100.00	Escherichia coli	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia				
2200	-35.603584	-6.655604	7864	44.09	12.735	6	0	0										
2214	4.796433	-30.680495	9479	61.02	22.630	10	0	13.19	Subdoligranulum variabile									
2257	-21.936753	-1.175566	7667	44.39	20.410	8	0	99.82	Lachnospiraceae	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae					
2265	-11.135625	21.927358	7646	38.65	40.911	6	0	98.95	Eubacterium hallii CAG:12	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium				
2270	-31.074283	1.764824	7614	41.45	388.127	7	0	100.00	Clostridiales	Firmicutes	Clostridia	Clostridiales						
2314	-22.076712	30.648930	7444	40.78	16.897	7	0	99.54	Firmicutes bacterium CAG:41	Firmicutes								
2323	11.081383	41.653667	7419	28.04	12.787	7	0	13.68	Terrisporobacter									
2334	-6.111506	22.945506	7375	36.01	37.925	13	0	67.34	Clostridiales									
2363	-28.501400	-0.906563	7285	42.35	103.884	6	0	13.49	Ruminococcus									
2428	-6.411157	-34.984014	7048	51.79	51.638	8	0	100.00	Escherichia coli	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia				NP_417467
2453	-5.283751	33.617865	8182	31.04	15.584	15	0	20.90	bacterium LF-3									
2455	7.098128	-6.304608	7549	39.95	19.417	5	0	93.29	Prevotella sp. CAG:891	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella		RF0024		
2462	-28.977215	-7.791882	6986	43.29	11.142	4	0	64.13	Blautia									
2520	-27.975286	-5.690774	6812	46.12	19.819	8	0	98.63	Clostridiales	Firmicutes	Clostridia	Clostridiales						
2543	32.811965	-13.070667	6760	67.68	35.811	5	0	84.23	Actinobacteria	Actinobacteria								
2600	-32.157154	4.112590	6628	41.23	334.092	10	0	100.00	Clostridiales	Firmicutes	Clostridia	Clostridiales						
2611	-24.509431	31.050928	11477	39.00	14.255	9	0	99.82	Firmicutes bacterium CAG:41	Firmicutes					VFG001312		21524	
2612	32.034388	-12.711312	6600	66.70	27.948	6	0	67.98	Actinomyces									
2624	9.795249	36.696939	6584	29.04	12.537	6	0	3.66	Terrisporobacter othiniensis									
2690	-6.331984	-36.475552	6403	52.71	41.699	3	0	100.00	Escherichia coli	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia				
2724	-22.006741	12.608019	6312	40.91	15.317	10	0	90.55	Lachnospiraceae	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae					
2742	-34.784391	-7.185974	6277	44.08	11.105	5	0	0										
2776	-4.534056	35.625511	6224	29.19	25.153	5	0	91.51	bacterium LF-3									
2806	-36.066773	-6.081804	6146	43.36	12.462	7	0	2.80	Lachnospiraceae									
2831	-10.888511	23.386474	8112	38.62	64.289	7	0	96.46	Eubacterium	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium				
2845	24.888785	-6.740508	6077	49.76	10.664	8	0	0.44	Mycobacterium tuberculosis									
2851	-7.569995	21.599510	6062	37.17	15.858	6	0	100.00	Clostridiales	Firmicutes	Clostridia	Clostridiales						
2884	-24.469068	-0.498096	5994	41.34	12.038	7	0	88.26	Clostridiales	Firmicutes	Clostridia	Clostridiales						
2897	-30.691727	3.310956	5975	39.80	263.849	7	0	98.60	Ruminococcus	Firmicutes	Clostridia	Clostridiales						
2919	34.802841	-25.177822	8415	64.47	13.680	8	0	92.81	Adlercreutzia equolifaciens	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia				
2927	-22.637638	6.774260	5912	41.39	11.973	4	0	100.00	Dorea	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea				
2939	-13.388374	5.459163	5875	42.66	17.650	2	0	100.00	Dorea	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea				NP_932363
2943	17.338708	20.120752	5872	33.72	44.889	3	0	21.74	Turicibacter									
2950	10.355913	41.390587	5853	26.62	12.681	8	0	0.58	Terrisporobacter glycolicus									
2951	10.695031	40.883090	5850	28.07	15.378	4	0	50.48	Peptostreptococcaceae									
2994	-25.344589	14.899833	5765	41.39	312.340	6	0	99.94	Clostridiales	Firmicutes	Clostridia	Clostridiales				RF0142		
2997	-32.617607	2.689587	5750	42.40	340.262	9	0	99.99	Clostridiales	Firmicutes	Clostridia	Clostridiales						
3018	11.187408	37.424789	5729	28.80	13.851	5	0	0										
3029	-17.771699	2.786420	5711	39.73	19.740	5	0	49.75	Clostridium									
3043	-23.229969	29.454049	5689	37.51	9.785	5	0	98.17	Firmicutes bacterium CAG:41	Firmicutes							130634	
3055	-11.264245	23.506753	5671	38.46	40.538	2	0	19.77	Eubacterium									
3106	-2.549007	-29.795731	5593	43.97	44.816	6	0	99.60	Escherichia coli	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia				YP_794050
3110	-30.153284	-4.580202	5587	43.78	10.338	5	0	96.53	Clostridiales	Firmicutes	Clostridia	Clostridiales						
3114	10.943371	39.335920	5584	27.79	10.895	5	0	0										
3138	15.696156	-28.358639	9723	56.96	13.466	9	0	96.06	Rothia mucilaginosa	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Rothia				
3139	-2.996528	33.802282	5521	28.94	17.176	3	0	0.44	Clostridium sp. CAG:122									
3142	-19.770809	7.043374	5518	42.39	11.217	4	0	0										
3144	10.715322	38.586541	5513	27.61	12.648	10	0	2.90	Terrisporobacter									
3150	36.522902	-24.669233	8919	66.17	13.035	9	0	99.27	Adlercreutzia equolifaciens	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia				
3160	-25.241385	13.482947	5482	36.48	26.099	6	0	97.09	Blautia sp. KLE 1732	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia			122799	
3166	17.712996	-31.595340	5475	60.62	11.007	4	0	96.42	Rothia mucilaginosa	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Rothia				
3173	-5.661692	-33.294744	5469	49.28	37.693	7	0	100.00	Escherichia coli	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia			135536	
3194	-36.978179	0.695653	5430	41.10	12.187	7	0	100.00	Dorea	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea				
3206	-5.440975	-28.832575	5416	50.46	23.112	6	0	100.00	Escherichia coli	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia				YP_001700621,YP_009226850,YP_009226861
3248	-8.372805	-25.743495	5347	57.64	39.932	8	0	100.00	Escherichia coli	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia			25622,117382,117775	
3259	11.865800	-10.093439	5320	44.79	13.863	2	0	83.61	Bacteroidales	Bacteroidetes	Bacteroidia	Bacteroidales						
3273	29.532512	-15.115734	5302	64.71	23.391	4	0	14.33	Actinomyces									
3288	15.259762	16.297563	6475	35.38	12.594	8	0	93.95	Streptococcus	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus				
3296	-7.238459	20.669793	5262	35.94	42.429	8	0	99.74	[Eubacterium] hallii	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium				
3327	-28.954217	-4.214681	5207	43.83	14.078	4	0	97.70	Clostridiales	Firmicutes	Clostridia	Clostridiales				RF0007		
3346	-25.536387	-5.609798	5168	45.14	21.406	4	0	99.87	Clostridiales	Firmicutes	Clostridia	Clostridiales						
3374	-22.836730	30.071005	5134	39.54	14.174	4	0	100.00	Firmicutes bacterium CAG:41	Firmicutes								
3403	-22.855534	31.022910	5093	39.76	14.235	4	0	98.79	Firmicutes bacterium CAG:41	Firmicutes								
3410	-3.527401	23.827360	5084	33.04	29.446	5	0	0										
3427	-30.119998	2.616561	5058	41.14	195.749	6	0	99.97	Clostridiales	Firmicutes	Clostridia	Clostridiales						
3437	-5.533978	19.545589	5043	35.59	56.890	5	0	11.15	Blautia wexlerae									
3440	-26.062365	7.745523	5042	38.91	13.723	7	0	0										
3450	10.276953	37.680947	5025	28.62	13.155	5	0	11.85	Clostridiales									
3481	19.219582	12.152206	4977	41.33	12.440	6	0	100.00	Streptococcus	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus				
3497	2.689565	-15.974097	4958	48.51	104.335	7	0	100.00	Clostridiales	Firmicutes	Clostridia	Clostridiales						
3543	17.577469	-33.103555	6788	62.64	9.141	8	0	95.79	Rothia mucilaginosa	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Rothia				
3610	30.748239	2.661525	4802	45.27	24.260	7	0	100.00	Streptococcus parasanguinis	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus				
3625	2.458217	31.997365	4794	30.27	11.645	4	0	100.00	Streptococcus	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus				
3627	-7.322212	-37.089858	4793	55.41	40.982	5	0	99.71	Escherichia coli	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	VFG010882		149577	
3633	-28.458395	-4.428753	4790	43.05	224.369	3	0	100.00	Clostridiales	Firmicutes	Clostridia	Clostridiales						
3639	35.771900	-24.297040	4780	69.23	9.314	4	0	49.53	Adlercreutzia equolifaciens									
3658	10.308070	39.531244	4761	27.43	9.794	6	0	9.17	Clostridium dakarense									
3664	33.775408	-24.289056	4755	66.06	11.034	3	0	35.03	Adlercreutzia equolifaciens									
3676	-22.527413	3.714646	4746	42.18	10.947	3	0	100.00	Dorea	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea				
3680	17.938321	-20.956000	4743	56.78	34.525	4	0	25.40	Actinobacteria									
3720	-3.212696	33.709342	5232	28.10	17.784	6	0	67.65	bacterium LF-3									
3728	-9.719479	21.948608	4673	36.74	31.370	4	0	15.19	Eubacterium hallii CAG:12									
3732	11.505142	0.681307	5318	45.22	10.187	6	0	0										
3745	28.088220	8.790707	4657	42.56	20.932	7	0	100.00	Streptococcus parasanguinis	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus				
3769	-23.439691	32.438100	4631	40.88	12.906	5	0	97.62	Firmicutes bacterium CAG:41	Firmicutes								
3770	10.996897	0.916020	4631	44.27	8.916	5	0	0										
3771	-16.487854	2.680891	4630	41.77	15.573	4	0	78.38	Roseburia sp. CAG:197	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae					
3788	4.185935	-34.283399	8924	63.02	23.544	8	0	11.29	Subdoligranulum variabile									
3796	9.980428	39.126612	6192	27.15	12.675	8	0	15.51	Peptoclostridium									
3799	-8.881739	22.176909	4603	36.22	121.561	6	0	59.16	Clostridiales									
3801	-4.061227	33.854591	4599	29.22	15.623	3	0	100.00	bacterium LF-3									
3831	-25.372673	6.692518	4560	39.98	11.658	3	0	99.47	Dorea	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea				
3835	-30.395758	-6.975786	7338	41.29	12.820	5	0	6.77	Clostridiales									
3839	-24.831424	-2.403321	4549	42.78	12.387	4	0	79.24	Blautia obeum	Firmicutes	Clostridia	Clostridiales						
3854	-24.970544	-9.749147	4535	43.46	14.366	5	0	94.13	Clostridiales	Firmicutes	Clostridia	Clostridiales						
3861	1.607697	-22.564342	4526	51.68	54.523	4	0	0										
3865	-35.853953	-6.292540	7759	43.88	11.045	6	0	1.33	Lachnospiraceae									
3894	-4.475965	21.349128	4483	34.22	10.567	6	0	100.00	Dorea formicigenerans	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea				
3914	30.022114	-25.914559	4459	61.00	13.402	6	0	63.18	Adlercreutzia equolifaciens									
3957	-0.887934	-15.991989	4418	44.84	24.285	9	0	35.21	Clostridiales									
3963	12.452074	38.378882	4410	32.40	14.897	2	0	87.89	Clostridium sp. JCC	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium				
4026	-3.310125	34.298928	4356	28.44	19.183	7	0	98.61	bacterium LF-3									
4027	19.348552	-28.559425	4356	58.56	14.136	3	0	99.54	Rothia mucilaginosa	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Rothia				
4037	-28.054770	1.583904	4349	42.45	340.995	2	0	100.00	Ruminococcus	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus				
4052	11.185570	35.809082	4340	28.48	12.546	5	0	9.04	Clostridiales									
4069	11.170206	39.211434	4952	28.15	12.676	5	0	0.44	[Clostridium] sordellii						VFG001259,VFG000514			
4071	25.729268	-6.545301	4323	50.89	11.098	3	0	0										
4150	22.427931	14.973706	4234	40.55	10.201	3	0	98.70	Streptococcus	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus				
4172	-26.285980	-0.031042	4216	41.25	9.741	3	0	100.00	Clostridiales	Firmicutes	Clostridia	Clostridiales						
4174	-25.856664	0.578366	4213	40.04	9.861	2	0	1.05	Blautia sp. CAG:237									
4191	20.051842	-5.874717	4193	45.43	9.352	6	0	43.38	Candidatus Saccharibacteria oral taxon TM7x									
4209	23.251954	15.246097	4176	39.25	24.659	2	0	100.00	Streptococcus parasanguinis	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus			146304	
4252	-24.236898	11.845775	4142	39.62	169.506	5	0	99.71	Clostridiales	Firmicutes	Clostridia	Clostridiales						
4269	-5.287128	-33.879366	4126	51.58	37.849	3	0	100.00	Escherichia coli	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia			17578	
4274	32.483970	4.899532	4119	45.18	19.325	4	0	100.00	Streptococcus parasanguinis	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus				
4277	6.133123	37.329695	4115	24.93	10.022	4	0	0										
