ID	X	Y	Length	GC	Coverage	ORFs	SSUs	Reads	Classified	Organism	CONCOCT	MaxBin	MetaBAT	Phylum	Class	Order	Family	Genus	Virulence	Resistance	Plasmid	Virus
10	21.286969	-14.813939	189174	56.2	58.331	148	0	76396	99.349	Bifidobacterium	C28	A8	B6	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	VFG000077,VFG000079,VFG001855,VFG001386	RF0065:2,RF0024	139291,123884,139473,147899,123889	YP_002225128,YP_009015561
11	25.50635	-27.06608	178577	60.22	175.778	137	0	219047	89.446	Collinsella	C28	A4	B2	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella		RF0154,RF0065,RF0142	155455	
12	-25.622753	-5.4315	172289	45.41	29.415	143	0	35382	97.894	Clostridiales	C26	A11	B24	Firmicutes	Clostridia	Clostridiales				RF0142	126324,145094,19088	YP_009012397
13	-32.660198	-12.230396	172245	45.24	70.137	136	0	85356	89.078	Lachnospiraceae	C26	A7	B7	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		VFG005316,VFG002377	RF0142:4	112088,28232	
14	-25.52999	-4.964549	169506	44.14	34.027	139	0	40071	88.897	Clostridiales	C26	A11	B24	Firmicutes	Clostridia	Clostridiales					146204	YP_009012396,YP_238637
15	-27.216164	4.651412	168528	42.03	76.347	147	0	89075	96.042	Dorea longicatena	C26		B4	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea		RF0142		YP_006987334,YP_009003341
16	16.823495	20.291075	156085	33.52	50.439	159	0	54469	10.639	Turicibacter	C5	A10	B14							RF0142	15706	
17	-25.619852	-5.42092	155394	45.34	37.993	144	0	41134	98.755	Clostridiales	C26	A11	B24	Firmicutes	Clostridia	Clostridiales					27692	
18	6.259677	5.702276	153774	41.43	856.977	196	0	911289	0.068	Bacteria	C16	A1										YP_006560672,YP_398573
19	21.327215	-14.872876	153132	56.38	51.127	155	0	54308	89.438	Bifidobacterium	C28	A8	B6	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium		RF0142	147328,135299,142501	YP_001294783,YP_009003341,YP_009152675
20	-24.27874	3.030704	151535	42.8	26.19	161	1	27594	11.56	Clostridiales	C26	A11	B24								139293	YP_006546319,YP_293777
21	25.463711	-26.817369	141831	60.1	131.171	123	0	129710	81.897	Collinsella	C28	A4	B2	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	VFG001374	RF0139	126324	YP_009012397
22	-27.027406	4.674037	138525	41.37	81.867	122	0	78454	74.41	Dorea	C26	A5	B3							RF0142:2	146204	
23	21.335496	-14.815654	185519	56.46	47.536	161	0	61116	97.009	Bifidobacterium	C28	A8	B6	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium			139411,115548,131238	YP_001468976,YP_008051028
24	22.149791	-14.276331	137212	59.39	27.29	119	0	26054	92.435	Bifidobacterium longum	C28	A14	B19	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	VFG013286	RF0165,RF0139		YP_004306893,YP_007010969
25	-25.590517	-5.460475	137133	45.94	34.894	122	0	33352	99.301	Clostridiales	C26	A11	B24	Firmicutes	Clostridia	Clostridiales				RF0148:2,RF0024	122799,114667	
26	-26.668314	4.617042	137040	40.73	61.139	157	0	57944	73.295	Dorea longicatena	C26		B3							RF0148	131160	NP_945278,YP_006218727,YP_009216859
27	22.734337	-13.596521	135546	61.76	20.034	115	0	18831	99.984	Bifidobacterium longum	C28	A14	B19	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	VFG001826,VFG041304		145094,13249	YP_009018187,YP_009224382
28	0.246671	-23.08426	234952	49.83	24.02	282	0	39331	0.092	Firmicutes	C5	A21							VFG002480	RF0007		
29	21.036557	-15.011957	130396	54.54	70.337	89	0	63504	91.651	Bifidobacterium	C28	A8	B6	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium		RF0065	142720	
30	-27.342042	4.555389	130022	42.6	99.884	126	0	90195	95.795	Dorea longicatena	C26	A5	B4	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea				YP_293777
31	4.294218	-34.000056	129705	62.47	24.184	117	0	22117	3.821	Ruminococcaceae	C28		B18						VFG000232			
32	25.566791	-27.146165	124410	61.13	141.242	109	0	122547	92.101	Collinsella	C28	A4	B2	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	VFG000077	RF0148,RF0102	126324	YP_009012397,YP_009015561
33	21.034955	-15.027926	120914	55.0	73.61	98	0	61595	88.572	Bifidobacterium	C28	A8	B6	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	VFG000079			YP_001294783,YP_006987334
34	-26.959946	4.929069	120378	40.96	79.572	111	0	66305	95.35	Lachnospiraceae	C26	A5	B3	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae			RF0142:2		YP_238737
35	-27.346105	4.534371	118399	43.01	70.083	117	0	57596	96.026	Dorea longicatena	C26	A7	B4	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea		RF0142	122799	NP_417179
36	-26.936887	4.801536	115536	41.44	67.367	107	0	53911	84.545	Dorea longicatena	C26		B3	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea			145094,139274,139406	
37	13.344003	42.966899	112032	28.13	115.457	115	0	89044	3.118	Peptostreptococcaceae	C18	A6	B29						VFG013286,VFG000964,VFG002225,VFG002364		12594	YP_001497591,YP_007674420
38	25.639332	-27.245162	124491	61.06	128.336	135	0	111062	75.803	Collinsella	C28	A4	B2	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	VFG006717	RF0148		YP_009196166,YP_009196169,YP_009196171
39	22.509673	-13.855353	137786	59.95	24.153	116	0	23163	99.655	Bifidobacterium longum	C28	A14	B19	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium		RF0065	139291	YP_009200994
40	25.497942	-27.055191	109816	60.29	197.131	89	1	151096	97.033	Collinsella	C28	A4	B2	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	VFG009570	RF0007,RF0144		
41	-32.775973	-12.368826	105773	45.54	39.767	97	0	29783	97.74	Roseburia sp. CAG:471	C26	A11	B7	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae			RF0007,RF0142		NP_417179,YP_002875699
42	-25.587799	-5.470521	103008	46.09	31.619	87	1	22741	99.807	Clostridiales	C26	A11	B24	Firmicutes	Clostridia	Clostridiales						YP_398605,YP_398606
43	16.830915	20.350629	102570	33.67	39.851	88	0	28261	5.888	Turicibacter	C5	A10	B14						VFG001855	RF0024	122168	YP_009002822,YP_009003341
44	-27.277379	4.437163	100285	42.86	100.92	85	0	69966	93.727	Dorea longicatena	C26	A5	B4	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea		RF0154:2,RF0155	139293	
45	21.600085	-14.832082	98533	57.07	29.005	117	0	19902	86.037	Bifidobacterium longum	C28	A14		Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium			146937,146934	YP_004306251,YP_004957628
46	-25.601866	-5.430314	98135	45.55	29.958	86	0	20550	99.713	Clostridiales	C26	A11	B24	Firmicutes	Clostridia	Clostridiales				RF0142:2	139274	NP_417179,YP_008319823
47	-32.619041	-11.609514	98105	44.07	85.829	101	0	58287	95.448	Lachnospiraceae	C26	A7	B4	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		VFG002144,VFG001259	RF0142,RF0144	126811	NP_612851,YP_009015580
48	-25.304778	8.682787	97754	40.51	83.421	81	0	56386	69.868	Dorea longicatena	C26	A5	B3						VFG001967		123884,123889	
49	-26.729502	5.019925	96061	41.46	80.729	107	0	53618	94.692	Dorea longicatena	C26	A5	B3	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	VFG006717			
50	-4.49792	24.921746	93619	34.44	28.262	133	0	18254	3.517	Ruminococcus sp. CAG:9	C5	A10	B17									YP_009221720
51	-25.27134	8.974301	92185	40.29	70.819	76	0	45358	57.895	Dorea longicatena	C26		B3						VFG001855,VFG013368		126324,13688	YP_009012396,YP_009012397
52	-25.319347	-4.346664	91048	43.56	25.949	76	0	16509	89.369	Clostridiales	C26	A11	B24	Firmicutes	Clostridia	Clostridiales			VFG001855	RF0142,RF0139	13688	YP_009010737
53	-11.465914	22.54698	91017	39.14	76.58	82	0	48239	99.932	Eubacterium	C5	A6	B5	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium		RF0148	14404,14401,128314	
54	25.532209	-27.10374	89861	61.04	176.322	86	0	110527	88.045	Collinsella	C28	A4	B2	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella				YP_009003341,YP_214423
55	3.363319	-32.469952	88113	61.94	29.153	79	0	17930	2.471	Subdoligranulum variabile	C28		B18						VFG000232			
56	-25.475392	-5.09739	86300	44.55	36.148	72	0	21817	96.241	Clostridiales	C26	A11	B24	Firmicutes	Clostridia	Clostridiales				RF0142		
57	-26.696669	4.850858	86259	41.92	71.376	105	0	42681	58.548	Dorea longicatena	C26		B3							RF0148:2,RF0063,RF0139		YP_009103080,YP_009191706,YP_009193979
58	-26.913222	4.817253	85094	40.85	82.405	77	0	48485	97.69	Dorea	C26	A5	B3	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea				YP_002875699
59	-32.461852	-12.022766	84372	44.86	62.267	87	0	37012	97.76	Lachnospiraceae	C26	A7	B7	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae			RF0142		YP_001498186,YP_004306889
60	-25.420636	-5.474723	84354	46.05	22.384	79	0	13127	92.618	Clostridiales	C26	A11	B24	Firmicutes	Clostridia	Clostridiales				RF0142:2		YP_009018187
61	22.317958	-14.08569	158349	59.98	35.322	119	0	38907	86.136	Bifidobacterium longum	C28	A14	B19	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium		RF0148,RF0024	113291	YP_001468976,YP_008051028
62	21.291534	-14.824961	105036	57.04	79.251	75	1	57889	99.781	Bifidobacterium catenulatum	C28	A8	B6	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium		RF0148		
63	13.425883	39.389119	83185	34.55	44.202	104	0	25350	12.947	Escherichia coli		A10										
64	-27.256509	4.600912	83179	42.01	77.307	69	0	44534	95.15	Dorea	C26		B3	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea		RF0142:2		
65	-32.813984	-12.365926	83124	45.4	67.491	68	1	39717	98.555	Lachnospiraceae	C26	A7	B7	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae					
66	16.807923	20.056824	83000	34.64	35.437	84	0	20407	4.185	Turicibacter sanguinis	C5	A10	B14									
67	22.136954	-14.260142	101377	59.15	34.219	58	0	24119	99.581	Bifidobacterium longum	C28	A14	B19	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium		RF0007:2		
68	16.56965	20.330689	81391	33.68	30.662	82	0	17269	0.556	Turicibacter	C5	A10	B14							RF0142		
69	25.478767	-26.985218	81114	59.12	150.64	69	0	85411	90.582	Collinsella	C28	A4	B2	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella				
70	-27.408238	4.561642	80674	42.98	70.565	71	0	39488	89.257	Dorea longicatena	C26	A7	B4	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea			114667	YP_007354398,YP_009015381,YP_238737
71	25.50415	-27.033823	80544	60.71	146.867	69	0	82218	97.891	Collinsella	C28	A4	B2	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella		RF0024		
72	3.786592	-31.555307	80036	59.77	23.296	75	0	13078	3.693	Ruminococcaceae	C28		B18						VFG001967,VFG000963			NP_048965,YP_009223762,YP_293777
73	-22.008444	-0.385015	79480	45.37	55.435	96	0	31165	37.224	Lachnospiraceae	C5	A7										YP_007002986,YP_009149177
74	16.982816	20.134827	99912	34.28	42.532	89	0	29808	6.005	Turicibacter	C5	A10	B14						VFG006717,VFG000964	RF0007,RF0165	12594,142485	
75	-23.90791	28.817782	78296	38.27	19.362	13	0	10483	5.437	Firmicutes bacterium CAG:41	C29	A24										
76	-25.012571	14.81986	77817	41.51	116.42	75	0	62871	95.76	Lachnospiraceae	C5	A5	B3	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae					NP_839905,YP_009008359
77	-25.155172	9.433731	113775	39.67	72.146	104	0	56867	82.746	Dorea longicatena	C26	A6	B3	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea				
78	-24.825062	9.847077	76546	39.58	91.532	68	0	48537	81.888	Dorea	C26	A5	B5	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		VFG013286			YP_240185
79	-32.772243	-12.459105	74698	46.68	71.048	62	0	37648	97.2	Lachnospiraceae	C26	A7	B7	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae			RF0142:2		
80	-25.609859	-5.361873	73568	45.39	31.952	81	0	16399	94.664	Clostridiales	C26	A11	B24	Firmicutes	Clostridia	Clostridiales						
81	31.633908	-25.692347	72200	61.68	19.218	57	0	9652	70.058	Eggerthellaceae	C10	A23	B23						VFG013286			YP_006987334,YP_007354398
82	3.981039	-30.569066	71809	58.77	46.663	87	0	23400	14.714	Clostridiales	C28	A13	B18							RF0142		
83	-8.631061	20.878683	71697	39.13	87.254	101	0	43265	98.738	Bacteroides	C28		B5	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides				YP_008241225,YP_112541
84	-25.616488	-5.43132	71265	45.83	32.45	63	0	16140	99.201	Clostridiales	C26	A11	B24	Firmicutes	Clostridia	Clostridiales					14594	YP_004957628
85	17.15601	20.127939	71048	35.16	35.663	62	0	17573	12.252	Turicibacter	C5	A10	B14								146304	
86	25.482981	-26.972265	74927	60.16	197.287	56	1	102862	93.154	Collinsella	C28	A4	B2	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella			126814	
87	-32.797409	-12.468693	70210	46.51	65.737	61	0	32724	98.768	Roseburia sp. CAG:471	C26	A7	B7	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia		RF0154	126811	YP_009015580
88	-32.514796	-11.969527	70018	43.77	35.79	60	0	17687	74.727	Roseburia sp. CAG:471	C26	A11	B7									
89	-32.621979	-11.936039	69798	43.14	71.805	73	0	35379	97.634	Lachnospiraceae	C26	A7	B4	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae			RF0142		
90	17.113634	20.09765	69717	34.68	34.211	65	0	16529	5.354	Turicibacter	C5	A10	B14						VFG037100	RF0063	134995,124071	NP_807108,YP_009223762
91	-25.561557	-5.162927	69263	44.58	26.564	60	0	12841	99.766	Clostridiales	C26	A11	B24	Firmicutes	Clostridia	Clostridiales				RF0007		YP_009002822,YP_009003341
92	16.597693	20.478069	68825	33.06	36.646	67	0	17427	1.945	Turicibacter	C5	A10	B14							RF0142:3,RF0154,RF0031	126814	
93	-5.299738	36.590558	68653	29.76	25.828	67	0	12334	88.244	bacterium LF-3	C3	A19	B29							RF0142:3	14404,14401	
94	3.968817	-31.228516	68576	58.67	36.788	52	0	17591	4.968	Ruminococcaceae	C28		B18						VFG002377	RF0017	28232	
95	16.995733	19.786467	68552	35.7	33.008	66	0	15616	1.691	Turicibacter	C5	A10	B14							RF0007		
96	16.748102	19.787602	68419	34.76	25.929	58	0	12234	3.4	Turicibacter	C5	A10	B14							RF0024		
97	-32.802353	-12.373096	67824	45.2	36.736	76	0	17601	99.364	Roseburia sp. CAG:471	C26	A11	B7	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia		RF0148		YP_008060662
98	-8.969817	22.807419	68726	36.17	48.544	53	0	23237	31.398	Eubacterium	C5		B5								122799	
99	25.580411	-27.138216	67208	60.42	192.67	50	0	90202	76.414	Collinsella	C28	A4	B2	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella			146204	
100	13.123037	42.649423	66348	27.7	48.683	67	1	22273	25.295	Peptostreptococcaceae	C18	A17	B29									
101	-25.596507	-4.937545	65799	43.75	21.695	64	0	9900	99.949	Clostridiales	C26		B24	Firmicutes	Clostridia	Clostridiales				RF0148		
102	25.469608	-27.016212	65638	60.09	148.46	49	0	67879	96.887	Collinsella	C28	A4	B2	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella			110567	YP_002875699
103	-24.6153	-4.067241	68807	43.58	30.152	63	0	14468	99.882	Clostridiales	C26	A11	B24	Firmicutes	Clostridia	Clostridiales			VFG013286,VFG002376,VFG000077,VFG002377,VFG002182,VFG002162		145640,28232	YP_009015561
104	22.525939	-13.880092	65220	59.99	22.972	53	0	10401	100.0	Bifidobacterium longum	C28	A14	B19	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	VFG000077		18274,14439	
105	-27.346873	4.533616	65087	42.78	72.46	59	0	32730	99.178	Dorea longicatena	C26	A7	B4	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea		RF0142,RF0024	142485	
106	-26.866656	6.602948	64798	42.1	24.889	51	0	11242	30.902	Clostridiales	C26		B24							RF0142:3	123884,123889	
107	-25.590439	-5.006908	64569	44.06	26.042	53	0	11707	89.058	Clostridiales	C26	A11	B24	Firmicutes	Clostridia	Clostridiales				RF0024	122884,122814,14594	YP_004957628,YP_009003341
108	-25.279989	7.566702	64132	40.41	24.497	62	0	10923	16.433	Clostridiales	C26		B24							RF0142:3		
109	25.478227	-27.066479	63898	59.7	161.803	58	0	72010	94.76	Collinsella	C28	A4	B2	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella		RF0065,RF0142		
110	-25.089637	-4.661524	63756	43.53	36.958	56	0	16420	85.305	Clostridiales	C26	A11	B24	Firmicutes	Clostridia	Clostridiales				RF0142:2		
111	25.206519	-26.539004	63683	58.18	140.527	57	0	62383	86.726	Collinsella	C28	A4	B2	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella				
112	22.499007	-13.917287	63672	60.68	33.003	52	0	14527	99.931	Bifidobacterium longum	C28	A14	B19	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium				YP_003970036
113	25.730345	-27.085461	62862	61.24	191.75	50	0	83975	61.071	Collinsella	C28	A4	B2						VFG000080	RF0148	14401,124071	NP_807108,YP_006987334
114	-25.163385	8.867086	62447	40.19	70.791	59	0	30669	81.356	Dorea longicatena	C26		B3	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae					
115	-5.877692	-33.458329	62053	50.69	41.42	61	0	17909	99.933	Escherichia coli	C20	A9	B9	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	VFG000463,VFG001867	RF0142,RF0140,RF0024	29938,135575,135508,135509,135530	YP_001700689
116	17.174595	20.230719	62001	34.74	51.226	61	0	21933	26.066	Turicibacter	C5	A10	B14								123884,123889	NP_932363
117	-11.170978	22.231426	61859	39.7	85.783	53	0	36755	99.929	Eubacterium	C5		B5	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium		RF0148:2		
118	-32.841633	-12.497506	61259	46.74	48.243	41	0	20917	99.723	Roseburia sp. CAG:471	C26	A7	B7	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia				YP_009012396
119	-32.619853	-11.973276	63375	43.66	62.946	53	0	28510	68.579	Blautia	C26	A7	B7							RF0142:2,RF0038		
120	21.222239	-14.869752	60772	56.35	79.867	44	0	33763	94.42	Bifidobacterium	C28	A8	B6	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium		RF0007		
121	-23.486919	1.708225	79023	42.77	74.923	85	0	41273	90.531	Dorea	C26		B4	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae			RF0148	110567	
122	31.073044	-13.987195	64774	65.38	30.427	51	0	13901	71.218	Actinomyces	C10	A12	B15								126324	YP_007006794
123	-10.552019	22.831935	59846	37.92	92.975	43	0	38425	95.258	Eubacterium	C5	A5	B5	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium			126811,135052	
124	-25.512157	-5.533722	59747	45.97	33.491	51	0	13966	99.8	Clostridiales	C26	A11	B24	Firmicutes	Clostridia	Clostridiales				RF0007		
125	-4.227029	23.67705	72541	34.24	19.008	110	0	9523	12.601	Ruminococcus sp. CAG:9	C5	A25	B27									YP_002455816,YP_009031310
126	-22.033949	-0.464436	59452	44.41	89.614	66	0	37413	99.997	Lachnospiraceae	C5	A7	B7	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae					
127	16.999451	20.159888	59435	34.53	35.589	47	0	14612	4.75	Turicibacter	C5	A10	B14									YP_002875699
128	-32.744138	-12.38941	58363	45.92	42.624	46	0	17711	96.607	Roseburia sp. CAG:471	C26	A11	B7	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia		RF0024		
129	-25.577555	-5.412964	58188	45.72	22.1	57	0	8948	99.553	Clostridiales	C26	A11	B24	Firmicutes	Clostridia	Clostridiales						
130	21.638056	-14.81789	57973	57.96	21.947	50	0	8857	80.242	Bifidobacterium longum	C28	A14	B19	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium		RF0142	17152	
131	21.591291	-14.803486	57771	56.36	27.516	71	0	11052	96.942	Bifidobacterium longum	C28	A14		Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium			121061	YP_009100191
132	-27.330841	6.93277	57746	42.35	21.939	51	0	8786	3.665	Clostridiales	C26		B24								21954	
133	12.887042	42.67581	57721	28.93	19.392	63	0	7724	6.642	Terrisporobacter	C18	A17	B29								134995,131504	YP_009221649
134	-27.237662	6.701701	57482	42.26	18.897	51	0	7589	16.168	Clostridiales	C26		B24								139406	YP_007354398
135	-25.658226	-5.39787	57085	44.88	29.72	51	0	11810	98.095	Clostridiales	C26	A11	B24	Firmicutes	Clostridia	Clostridiales						YP_007354398
136	-27.03888	4.818018	57273	41.37	74.159	48	0	29449	94.886	Dorea longicatena	C26		B3	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	VFG000077			YP_009015561
137	2.948912	-28.487103	78682	55.69	24.433	72	0	13453	60.834	Clostridiales	C28	A13	B18									
138	16.91506	19.896162	56734	34.78	27.627	54	0	10816	0.666	Turicibacter	C5	A10	B14							RF0142:3		
139	-5.507988	37.111009	56513	28.47	23.54	55	0	9250	97.395	bacterium LF-3	C3	A19	B29									
140	3.179922	-28.277397	56300	56.22	30.308	46	0	11927	5.123	Clostridiales	C28	A13	B18						VFG001967,VFG000963		139293,127736	NP_048965
141	22.601966	-13.759234	78165	60.75	22.446	58	0	12189	99.992	Bifidobacterium longum	C28	A14	B19	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium				
142	-25.518377	-5.575615	55672	46.24	29.857	51	0	11601	99.733	Clostridiales	C26	A11	B24	Firmicutes	Clostridia	Clostridiales						YP_293777
143	-5.657453	-32.660961	55603	49.91	40.241	55	0	15601	99.897	Escherichia coli	C20	A9	B9	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	VFG013465			YP_001700614,YP_006560838
144	25.512978	-27.065636	55601	60.92	168.355	47	0	65386	91.966	Collinsella	C28	A4	B2	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella				
145	2.047707	-23.046832	55519	52.98	28.715	53	0	11166	6.242	Ruminococcaceae	C28	A13	B13								132147	
146	-32.749521	-12.232665	55472	44.81	52.779	53	0	20737	91.031	Roseburia sp. CAG:471	C26	A7	B7	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia		RF0142	151867	
147	25.456118	-27.015171	55267	59.77	197.811	44	0	76766	89.963	Collinsella	C28	A4	B2	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella		RF0007:2	139293	
148	-25.668884	-5.342879	54223	44.82	24.907	49	0	9406	99.926	Clostridiales	C26	A11	B24	Firmicutes	Clostridia	Clostridiales				RF0142:2		
